Entity,Code,Year,"School enrollment, secondary (% gross)"
Germany,DEU,2000,99.12943
Germany,DEU,2010,104.89136
Saint Lucia,LCA,1980,31.99521
Saint Lucia,LCA,1990,46.632
Saint Lucia,LCA,2000,71.28228
Saint Lucia,LCA,2010,97.63487
Saint Lucia,LCA,2022,88.10373
Uganda,UGA,1970,3.47561
Uganda,UGA,1980,4.79601
Uganda,UGA,1990,10.95076
Uganda,UGA,2010,26.333805
Zambia,ZMB,1970,12.48861
Zambia,ZMB,1980,15.61736
Zambia,ZMB,1990,20.76518
Zimbabwe,ZWE,1970,7.05266
Zimbabwe,ZWE,1980,9.17595
Zimbabwe,ZWE,1990,43.76344
Zimbabwe,ZWE,2000,41.60256
