Entity,Code,Year,Deaths - Respiratory infections and tuberculosis - Sex: Both - Age: Age-standardized (Rate)
African Region (WHO),,1990,296.73
African Region (WHO),,1995,286.63
African Region (WHO),,2000,271.17
African Region (WHO),,2005,238.63
African Region (WHO),,2010,205.95
African Region (WHO),,2015,180.34
African Region (WHO),,2019,157.4
Eastern Mediterranean Region (WHO),,1990,105.61
Eastern Mediterranean Region (WHO),,1995,103.36
Eastern Mediterranean Region (WHO),,2000,91.4
Eastern Mediterranean Region (WHO),,2005,80.1
Eastern Mediterranean Region (WHO),,2010,68.74
Eastern Mediterranean Region (WHO),,2015,60.45
Eastern Mediterranean Region (WHO),,2019,53.36
European Region (WHO),,1990,37.68
European Region (WHO),,1995,39.66
European Region (WHO),,2000,35.92
European Region (WHO),,2005,31.08
European Region (WHO),,2010,24.61
European Region (WHO),,2015,22.27
European Region (WHO),,2019,20.3
Region of the Americas (WHO),,1990,50.04
Region of the Americas (WHO),,1995,43.84
Region of the Americas (WHO),,2000,36.44
Region of the Americas (WHO),,2005,32.08
Region of the Americas (WHO),,2010,30.03
Region of the Americas (WHO),,2015,29.12
Region of the Americas (WHO),,2019,27.75
South-East Asia Region (WHO),,1990,198.65
South-East Asia Region (WHO),,1995,170.17
South-East Asia Region (WHO),,2000,151.73
South-East Asia Region (WHO),,2005,122.33
South-East Asia Region (WHO),,2010,98.95
South-East Asia Region (WHO),,2015,84.35
South-East Asia Region (WHO),,2019,72.93
Western Pacific Region (WHO),,1990,87.78
Western Pacific Region (WHO),,1995,73.88
Western Pacific Region (WHO),,2000,57.34
Western Pacific Region (WHO),,2005,43.73
Western Pacific Region (WHO),,2010,35.2
Western Pacific Region (WHO),,2015,29.19
Western Pacific Region (WHO),,2019,26.07
