Entity,Code,Year,Affordability of cigarettes: percentage of GDP per capita required to purchase 2000 cigarettes of the most sold brand
Bolivia,BOL,2012,4.42
Bolivia,BOL,2014,4.68
Bolivia,BOL,2016,5.15
Bolivia,BOL,2018,4.67
Bolivia,BOL,2020,5.51
Samoa,WSM,2012,9.14
Samoa,WSM,2014,9.87
Samoa,WSM,2016,10.14
Samoa,WSM,2018,11.66
Samoa,WSM,2020,12.02
Samoa,WSM,2022,13.95
Seychelles,SYC,2012,4.56
Seychelles,SYC,2014,3.87
Seychelles,SYC,2016,4.96
Seychelles,SYC,2018,4.91
Seychelles,SYC,2020,5.69
Seychelles,SYC,2022,4.52
