Entity,Code,Year,Mobile cellular subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people)
Cyprus,CYP,1960,0.0,1.8553783
Cyprus,CYP,1970,0.0,5.436435
Cyprus,CYP,1980,0.0,13.121313
Cyprus,CYP,1990,0.5447014,42.447533
Cyprus,CYP,2000,31.300932,63.095486
Cyprus,CYP,2010,123.13301,49.201237
Cyprus,CYP,2021,148.73807,34.299664
Djibouti,DJI,1960,0.0,
Djibouti,DJI,1970,0.0,0.8082893
Djibouti,DJI,1980,0.0,0.8095742
Djibouti,DJI,1990,0.0,0.98930305
Djibouti,DJI,2000,0.030995969,1.3077604
Djibouti,DJI,2010,18.0171,2.0097933
Djibouti,DJI,2021,44.26176,2.4716952
Europe and Central Asia (WB),,1960,0.0,5.448833
Europe and Central Asia (WB),,1970,0.0,9.847099
Europe and Central Asia (WB),,1980,0.0030000084,16.453169
Europe and Central Asia (WB),,1990,0.4152862,26.12224
Europe and Central Asia (WB),,2000,34.14269,37.546772
Europe and Central Asia (WB),,2010,120.330734,37.552723
Europe and Central Asia (WB),,2021,128.74925,27.738167
Morocco,MAR,1960,0.0,0.6382755
Morocco,MAR,1970,0.0,0.5685819
Morocco,MAR,1980,0.0,0.8354172
Morocco,MAR,1990,0.003644065,1.6245112
Morocco,MAR,2000,8.13373,4.9490027
Morocco,MAR,2010,98.883514,11.592366
Morocco,MAR,2021,139.2751,6.5876784
Saudi Arabia,SAU,1990,0.09279113,7.710205
Saudi Arabia,SAU,2000,6.385372,13.759114
Saudi Arabia,SAU,2010,175.3179,14.163471
Saudi Arabia,SAU,2021,126.361115,18.343695
Saudi Arabia,SAU,1970,,1.5328705
Saudi Arabia,SAU,1980,,3.1418118
Uruguay,URY,1960,0.0,4.3495092
Uruguay,URY,1970,0.0,5.7342224
Uruguay,URY,1980,0.0,7.448159
Uruguay,URY,1990,0.0,13.3269615
Uruguay,URY,2000,12.477492,28.22229
Uruguay,URY,2010,132.34775,28.69929
Uruguay,URY,2021,136.92122,36.063404
