Entity,Code,Year,"Age-standardized deaths that are from maternal conditions per 100,000 people, in both sexes aged all ages"
Australia,AUS,1950,2.5492978
Australia,AUS,1960,1.2891225
Australia,AUS,1970,0.58628184
Australia,AUS,1980,0.15053102
Australia,AUS,1990,0.09582057
Australia,AUS,2000,0.06786827
Australia,AUS,2010,0.05810276
Australia,AUS,2021,0.04401433
Canada,CAN,1950,3.1270978
Canada,CAN,1960,1.3242564
Canada,CAN,1970,0.38472036
Canada,CAN,1980,0.10757865
Canada,CAN,1990,0.03426686
Canada,CAN,2000,0.03871203
Canada,CAN,2010,0.07614797
France,FRA,1950,1.9583457
France,FRA,1960,1.0606436
France,FRA,1970,0.54381245
France,FRA,1980,0.20104691
France,FRA,1990,0.13993163
France,FRA,2000,0.08910554
France,FRA,2010,0.12792762
Germany,DEU,1990,0.1022122
Germany,DEU,2000,0.05765135
Germany,DEU,2010,0.05653975
United States,USA,1950,1.999161
United States,USA,1960,1.0406452
United States,USA,1970,0.45228302
United States,USA,1980,0.14223012
United States,USA,1990,0.13316724
United States,USA,2000,0.15088698
United States,USA,2010,0.29696336
