Entity,Code,Year,"Average daily minutes of work in summer, weighted by employees (Atack and Bateman (1992))"
Agricultural Services,,1880,8.0333333494
All Industries,,1880,10.1166666869
Blacksmithing,,1880,10.4000000208
Chemicals,,1880,10.4500000209
Clothing,,1880,10.0166666867
Coke/Gas/Oil,,1880,10.1500000203
Construction,,1880,10.0166666867
Fabricated Metals,,1880,10.00000002
Food,,1880,10.2666666872
Glass/Brick,,1880,10.0333333534
Leather,,1880,10.0666666868
Lumber,,1880,10.5166666877
Paper,,1880,10.4666666876
Primary Metals,,1880,10.1000000202
Printing,,1880,9.9000000198
Tobacco,,1880,10.166666687
Transportation Equipment,,1880,9.9833333533
