Entity,Code,Year,Deaths - Cause: Cardiovascular diseases - Sex: Both sexes - Age group: ALLAges
Angola,AGO,2000,20590.25
Angola,AGO,2005,22662.97
Angola,AGO,2010,23511.08
Angola,AGO,2015,25179.05
Angola,AGO,2019,27800.69
Asia,,2000,7197265.0
Asia,,2005,8049881.5
Asia,,2010,8904371.0
Asia,,2015,9771899.0
Asia,,2019,10751486.0
Egypt,EGY,2000,157018.2
Egypt,EGY,2005,186306.8
Egypt,EGY,2010,211536.4
Egypt,EGY,2015,251944.1
Egypt,EGY,2019,252650.0
El Salvador,SLV,2000,5496.17
El Salvador,SLV,2005,5664.94
El Salvador,SLV,2010,6501.61
El Salvador,SLV,2015,9255.43
El Salvador,SLV,2019,8219.27
Italy,ITA,2000,237021.3
Italy,ITA,2005,228155.9
Italy,ITA,2010,215496.3
Italy,ITA,2015,237296.2
Italy,ITA,2019,227355.7
Kuwait,KWT,2000,1312.94
Kuwait,KWT,2005,1419.64
Kuwait,KWT,2010,1605.99
Kuwait,KWT,2015,2238.05
Kuwait,KWT,2019,3314.89
Kyrgyzstan,KGZ,2000,15529.73
Kyrgyzstan,KGZ,2005,16861.69
Kyrgyzstan,KGZ,2010,16598.27
Kyrgyzstan,KGZ,2015,16250.63
Kyrgyzstan,KGZ,2019,13974.31
South Africa,ZAF,2000,77343.43
South Africa,ZAF,2005,84350.49
South Africa,ZAF,2010,91140.38
South Africa,ZAF,2015,94113.21
South Africa,ZAF,2019,87793.84
Togo,TGO,2000,6340.88
Togo,TGO,2005,7387.78
Togo,TGO,2010,8199.83
Togo,TGO,2015,8951.39
Togo,TGO,2019,9320.83
