Entity,Code,Year,Inbound arrivals (same day)
France,FRA,2005,110841000.0
France,FRA,2010,113179000.0
France,FRA,2015,118851000.0
France,FRA,2021,92902000.0
Mexico,MEX,1995,65205000.0
Mexico,MEX,2000,85032000.0
Mexico,MEX,2005,81231000.0
Mexico,MEX,2010,58664000.0
Mexico,MEX,2015,55035000.0
Mexico,MEX,2021,23441000.0
Poland,POL,1995,63029000.0
Poland,POL,2000,67115000.0
Poland,POL,2005,49406000.0
Poland,POL,2010,45870000.0
Poland,POL,2015,61015000.0
Poland,POL,2021,41304000.0
Spain,ESP,1995,19489000.0
Spain,ESP,2000,28177000.0
Spain,ESP,2005,36649000.0
Spain,ESP,2010,41067000.0
Spain,ESP,2015,41659000.0
Spain,ESP,2021,20450000.0
