Entity,Code,Year,Harmonized national poverty line,Median income or consumption,Population (historical estimates),Continent
Africa,,2017,,,1263333997.0,
Armenia,ARM,2017,5.123629413778483,6.9698253,2851929.0,
Asia,,2017,,,4547095064.0,
Bolivia,BOL,2017,10.460691085858397,14.065414,11435535.0,
Brazil,BRA,2017,,12.19894,208504960.0,
Bulgaria,BGR,2017,10.871627663377614,17.449934,7182430.0,
Burundi,BDI,2017,,,11155592.0,
China,CHN,2017,,9.4807005,1410275968.0,
Croatia,HRV,2017,13.789621339119687,22.925236,4192468.0,
Czechia,CZE,2017,19.173440536225076,31.669296,10531315.0,
Djibouti,DJI,2017,2.3344553370774963,4.0851326,1040242.0,
Egypt,EGY,2017,4.157091779398289,5.065631,101789384.0,
Estonia,EST,2017,21.42080041881673,31.21282,1317550.0,
Ethiopia,ETH,2017,,,108197944.0,
Europe,,2017,,,745657647.0,
Fiji,FJI,2017,,,919022.0,
Gabon,GAB,2017,7.160034921703519,9.673192,2140225.0,
Gambia,GMB,2017,,,2381189.0,
Georgia,GEO,2017,3.7956053892289208,6.3935785,3771904.0,
Germany,DEU,2017,,53.216515,82624368.0,
Greece,GRC,2017,12.194365481858991,22.089748,10692230.0,
Guatemala,GTM,2017,,,16578718.0,
Guinea,GIN,2017,,,12240791.0,
Indonesia,IDN,2017,2.4127466097949557,5.1750336,264498848.0,
Iraq,IRQ,2017,,,39621156.0,
Italy,ITA,2017,22.854223691814543,40.532337,60004024.0,
Madagascar,MDG,2017,,,26169540.0,
Malawi,MWI,2017,,,17881172.0,
Malaysia,MYS,2017,,,31975812.0,
Mexico,MEX,2017,,,122839256.0,
Morocco,MAR,2017,,,35528116.0,
Mozambique,MOZ,2017,,,28569448.0,
Niger,NER,2017,,,21737924.0,
Nigeria,NGA,2017,,,193495904.0,
North America,,2017,,,581258143.0,
Oceania,,2017,,,41817267.0,
Pakistan,PAK,2017,,,216379648.0,
Palestine,PSE,2017,,,4700954.0,
Peru,PER,2017,5.178258355822706,9.836352,31605488.0,
Philippines,PHL,2017,,,106738496.0,
Portugal,PRT,2017,15.408188144580691,25.571098,10307528.0,
Russia,RUS,2017,9.036234499563443,17.135622,145452544.0,
Solomon Islands,SLB,2017,,,643641.0,
South Africa,ZAF,2017,,,56641208.0,
South America,,2017,,,420982650.0,
South Sudan,SSD,2017,,,10658230.0,
Tanzania,TZA,2017,1.62313040612702,,56267040.0,
Thailand,THA,2017,5.724104054273467,12.499311,70898208.0,
Turkey,TUR,2017,7.631603354377102,16.06423,82089824.0,
Ukraine,UKR,2017,4.806232211896622,11.528695,44657260.0,
United Kingdom,GBR,2017,25.76764395550315,45.379646,66064808.0,
United States,USA,2017,34.78694957432708,58.498417,329791232.0,
Vietnam,VNM,2017,,,94033048.0,
