Entity,Code,Year,"Share of total deaths that are from all causes attributed to secondhand smoke, in both sexes aged age-standardized"
Dominican Republic,DOM,1990,1.4888523
Dominican Republic,DOM,1995,1.490606
Dominican Republic,DOM,2000,1.3762513
Dominican Republic,DOM,2005,1.3817061
Dominican Republic,DOM,2010,1.3727283
Dominican Republic,DOM,2015,1.4036977
Dominican Republic,DOM,2019,1.4166808
Guatemala,GTM,1990,0.9271402
Guatemala,GTM,1995,1.0116109
Guatemala,GTM,2000,1.0627863
Guatemala,GTM,2005,1.0570388
Guatemala,GTM,2010,1.0860101
Guatemala,GTM,2015,1.1388332
Guatemala,GTM,2019,1.1538341
Hungary,HUN,1990,3.163522
Hungary,HUN,1995,3.0347633
Hungary,HUN,2000,3.0498195
Hungary,HUN,2005,3.0986056
Hungary,HUN,2010,2.9626715
Hungary,HUN,2015,2.821025
Hungary,HUN,2019,2.7741015
Netherlands,NLD,1990,2.1752768
Netherlands,NLD,1995,1.9317722
Netherlands,NLD,2000,1.7881503
Netherlands,NLD,2005,1.5512339
Netherlands,NLD,2010,1.3073003
Netherlands,NLD,2015,1.165375
Netherlands,NLD,2019,1.1771842
Paraguay,PRY,1990,2.2171314
Paraguay,PRY,1995,2.1305752
Paraguay,PRY,2000,2.013913
Paraguay,PRY,2005,2.017661
Paraguay,PRY,2010,2.0183778
Paraguay,PRY,2015,2.0073812
Paraguay,PRY,2019,2.0646129
Philippines,PHL,1990,3.3726876
Philippines,PHL,1995,3.37394
Philippines,PHL,2000,3.520995
Philippines,PHL,2005,3.6092184
Philippines,PHL,2010,3.64505
Philippines,PHL,2015,3.598808
Philippines,PHL,2019,3.594554
Taiwan,TWN,1990,3.3568003
Taiwan,TWN,1995,3.322925
Taiwan,TWN,2000,3.190901
Taiwan,TWN,2005,2.964061
Taiwan,TWN,2010,2.6878352
Taiwan,TWN,2015,2.584374
Taiwan,TWN,2019,2.6144001
