Entity,Code,Year,Rice | 00000027 || Yield | 005419 || tonnes per hectare
Laos,LAO,1961,0.871
Laos,LAO,1970,1.3589
Laos,LAO,1980,1.4386
Laos,LAO,1990,2.2935
Laos,LAO,2000,3.0605998
Laos,LAO,2010,3.5909
Laos,LAO,2021,4.1031
South Korea,KOR,1961,4.148
South Korea,KOR,1970,4.552
South Korea,KOR,1980,4.3076
South Korea,KOR,1990,6.2057
South Korea,KOR,2000,6.711
South Korea,KOR,2010,6.5137997
South Korea,KOR,2021,7.1143
World,OWID_WRL,1961,1.8693
World,OWID_WRL,1970,2.3808
World,OWID_WRL,1980,2.7482
World,OWID_WRL,1990,3.5286
World,OWID_WRL,2000,3.8874
World,OWID_WRL,2010,4.3178997
World,OWID_WRL,2021,4.7641997
