Entity,Code,Year,"Deaths that are from all causes attributed to unsafe water source, in both sexes aged all ages"
Bosnia and Herzegovina,BIH,1990,14.30148
Bosnia and Herzegovina,BIH,1995,10.836639
Bosnia and Herzegovina,BIH,2000,4.796885
Bosnia and Herzegovina,BIH,2005,3.802422
Bosnia and Herzegovina,BIH,2010,2.9081016
Bosnia and Herzegovina,BIH,2015,3.088763
Bosnia and Herzegovina,BIH,2019,2.7141874
Central African Republic,CAF,1990,6364.566
Central African Republic,CAF,1995,6653.553
Central African Republic,CAF,2000,6525.9395
Central African Republic,CAF,2005,6358.755
Central African Republic,CAF,2010,7002.2866
Central African Republic,CAF,2015,7402.877
Central African Republic,CAF,2019,7366.476
Eastern Mediterranean Region (WHO),,1990,208691.89
Eastern Mediterranean Region (WHO),,1995,198111.69
Eastern Mediterranean Region (WHO),,2000,178690.84
Eastern Mediterranean Region (WHO),,2005,153073.28
Eastern Mediterranean Region (WHO),,2010,136887.36
Eastern Mediterranean Region (WHO),,2015,115667.36
Eastern Mediterranean Region (WHO),,2019,100377.734
Mali,MLI,1990,20812.16
Mali,MLI,1995,20984.018
Mali,MLI,2000,20322.172
Mali,MLI,2005,17061.598
Mali,MLI,2010,13464.077
Mali,MLI,2015,11357.581
Mali,MLI,2019,11881.146
Niger,NER,1990,31565.088
Niger,NER,1995,33675.047
Niger,NER,2000,33030.65
Niger,NER,2005,32672.682
Niger,NER,2010,24400.814
Niger,NER,2015,25169.076
Niger,NER,2019,24716.236
Papua New Guinea,PNG,1990,1965.54
Papua New Guinea,PNG,1995,2038.3492
Papua New Guinea,PNG,2000,2261.2751
Papua New Guinea,PNG,2005,2557.0222
Papua New Guinea,PNG,2010,2798.342
Papua New Guinea,PNG,2015,2647.623
Papua New Guinea,PNG,2019,2619.7986
Paraguay,PRY,1990,600.9667
Paraguay,PRY,1995,513.4432
Paraguay,PRY,2000,371.45047
Paraguay,PRY,2005,248.8478
Paraguay,PRY,2010,155.57036
Paraguay,PRY,2015,114.46423
Paraguay,PRY,2019,111.68287
