Entity,Code,Year,Number of new conflicts - Conflict type: intrastate (internationalized),Number of new conflicts - Conflict type: intrastate (non-internationalized),Number of new conflicts - Conflict type: extrasystemic,Number of new conflicts - Conflict type: interstate
Europe,,1946,0,2,0,2
Europe,,1949,0,0,0,0
Europe,,1952,0,0,0,0
Europe,,1955,0,0,1,0
Europe,,1958,0,0,0,0
Europe,,1961,0,1,0,1
Europe,,1964,0,0,0,0
Europe,,1967,0,0,0,0
Europe,,1970,0,1,0,0
Europe,,1973,0,0,0,0
Europe,,1976,0,0,0,0
Europe,,1979,0,0,0,1
Europe,,1982,0,0,0,1
Europe,,1985,0,0,0,0
Europe,,1988,0,0,0,0
Europe,,1991,1,4,0,0
Europe,,1994,0,1,0,0
Europe,,1997,0,0,0,0
Europe,,2000,0,0,0,0
Europe,,2003,0,0,0,0
Europe,,2006,0,0,0,0
Europe,,2009,0,0,0,0
Europe,,2012,0,0,0,0
Europe,,2015,1,1,0,0
Europe,,2018,0,0,0,0
Europe,,2022,0,0,0,1
