Entity,Code,Year,Fossil fuels - % electricity
Australia,AUS,1985,85.33957
Australia,AUS,1990,89.5595
Australia,AUS,1995,90.39024
Australia,AUS,2000,91.91071
Australia,AUS,2005,91.020195
Australia,AUS,2010,91.17026
Australia,AUS,2015,85.90495
Australia,AUS,2020,75.76352
Australia,AUS,2022,66.78487
China,CHN,1985,77.5043
China,CHN,1990,79.58596
China,CHN,1995,79.43943
China,CHN,2000,82.126
China,CHN,2005,81.7035
China,CHN,2010,79.532036
China,CHN,2015,73.08421
China,CHN,2020,67.205086
China,CHN,2022,65.10256
France,FRA,1985,14.996572
France,FRA,1990,11.347075
France,FRA,1995,7.8420196
France,FRA,2000,9.484633
France,FRA,2005,11.116766
France,FRA,2010,10.239326
France,FRA,2015,7.77983
France,FRA,2020,9.130394
France,FRA,2022,12.169885
India,IND,1985,69.78266
India,IND,1990,74.680595
India,IND,1995,80.195
India,IND,2000,83.191864
India,IND,2005,82.229034
India,IND,2010,82.325836
India,IND,2015,81.732086
India,IND,2020,77.22543
India,IND,2022,77.014824
South Africa,ZAF,1985,94.392685
South Africa,ZAF,1990,93.242676
South Africa,ZAF,1995,92.97956
South Africa,ZAF,2000,92.47213
South Africa,ZAF,2005,93.901054
South Africa,ZAF,2010,93.65817
South Africa,ZAF,2015,92.68808
South Africa,ZAF,2020,88.99351
South Africa,ZAF,2022,86.19915
Sweden,SWE,1990,2.294835
Sweden,SWE,1995,5.2603183
Sweden,SWE,2000,3.2844455
Sweden,SWE,2005,3.0058098
Sweden,SWE,2010,5.7460427
Sweden,SWE,2015,1.9444444
Sweden,SWE,2020,1.4898034
Sweden,SWE,2022,1.7710934
United States,USA,1985,72.60898
United States,USA,1990,69.969406
United States,USA,1995,69.14324
United States,USA,2000,70.94185
United States,USA,2005,71.870316
United States,USA,2010,70.06641
United States,USA,2015,66.854225
United States,USA,2020,60.148197
United States,USA,2022,59.65182
World,OWID_WRL,1985,63.579185
World,OWID_WRL,1990,63.662365
World,OWID_WRL,1995,62.287632
World,OWID_WRL,2000,64.39772
World,OWID_WRL,2005,66.67343
World,OWID_WRL,2010,67.3185
World,OWID_WRL,2015,66.279945
World,OWID_WRL,2020,61.790546
World,OWID_WRL,2022,61.267868
