Entity,Code,Year,Per capita nitrous oxide emissions from agriculture
Australia,AUS,1990,4.2966914
Australia,AUS,1995,3.8987942
Australia,AUS,2000,4.9185066
Australia,AUS,2005,2.7885559
Australia,AUS,2010,2.15812
Australia,AUS,2015,2.7946823
Australia,AUS,2020,1.7222403
Brazil,BRA,1990,0.64920914
Brazil,BRA,1995,0.6652587
Brazil,BRA,2000,0.63147587
Brazil,BRA,2005,0.7493147
Brazil,BRA,2010,0.791226
Brazil,BRA,2015,0.7748496
Brazil,BRA,2020,0.8368813
China,CHN,1990,0.2200044
China,CHN,1995,0.251054
China,CHN,2000,0.24081974
China,CHN,2005,0.253746
China,CHN,2010,0.25931036
China,CHN,2015,0.25686735
China,CHN,2020,0.22680415
India,IND,1990,0.15173723
India,IND,1995,0.15650034
India,IND,2000,0.15192042
India,IND,2005,0.15345925
India,IND,2010,0.1666917
India,IND,2015,0.16237466
India,IND,2020,0.17167877
Niger,NER,1990,0.42290622
Niger,NER,1995,0.4401911
Niger,NER,2000,0.45772603
Niger,NER,2005,0.4763546
Niger,NER,2010,0.46673548
Niger,NER,2015,0.48141575
Niger,NER,2020,0.50465107
Nigeria,NGA,1990,0.1714029
Nigeria,NGA,1995,0.16369711
Nigeria,NGA,2000,0.17044902
Nigeria,NGA,2005,0.17082979
Nigeria,NGA,2010,0.15439303
Nigeria,NGA,2015,0.14967735
Nigeria,NGA,2020,0.15274034
South Africa,ZAF,1990,0.36737445
South Africa,ZAF,1995,0.31805512
South Africa,ZAF,2000,0.32640317
South Africa,ZAF,2005,0.2980589
South Africa,ZAF,2010,0.29236305
South Africa,ZAF,2015,0.2496577
South Africa,ZAF,2020,0.23077475
South Sudan,SSD,1990,2.5932343
South Sudan,SSD,1995,2.9479146
South Sudan,SSD,2000,3.1908057
South Sudan,SSD,2005,2.6152802
South Sudan,SSD,2010,1.9537956
South Sudan,SSD,2015,1.8339691
South Sudan,SSD,2020,2.0384257
United Kingdom,GBR,1990,0.5210587
United Kingdom,GBR,1995,0.48938066
United Kingdom,GBR,2000,0.45114663
United Kingdom,GBR,2005,0.40938172
United Kingdom,GBR,2010,0.37444204
United Kingdom,GBR,2015,0.37072036
United Kingdom,GBR,2020,0.34476858
United States,USA,1990,0.6423638
United States,USA,1995,0.6308426
United States,USA,2000,0.59412485
United States,USA,2005,0.574311
United States,USA,2010,0.5645234
United States,USA,2015,0.5455199
United States,USA,2020,0.5341398
World,OWID_WRL,1990,0.3418435
World,OWID_WRL,1995,0.32103074
World,OWID_WRL,2000,0.3088179
World,OWID_WRL,2005,0.30664623
World,OWID_WRL,2010,0.30497152
World,OWID_WRL,2015,0.3001442
World,OWID_WRL,2020,0.29719347
