Entity,Code,Year,Per capita consumption-based CO₂ emissions,Human Development Index,Population (historical estimates),Continent
Africa,,2021,0.9980523,,1393676724.0,
Argentina,ARG,2021,3.9110975,0.842,45276788.0,
Asia,,2021,4.2430253,,4693332132.0,
Bahrain,BHR,2021,12.30133,0.875,1463266.0,
Bangladesh,BGD,2021,0.88492537,0.661,169356240.0,
Belarus,BLR,2021,6.4194117,0.808,9578172.0,
Brazil,BRA,2021,2.1566315,0.754,214326224.0,
Brunei,BRN,2021,21.73987,0.829,445382.0,
Cambodia,KHM,2021,2.5277314,0.593,16589031.0,
China,CHN,2021,7.2376294,0.768,1425893504.0,
Czechia,CZE,2021,10.382813,0.889,10510748.0,
Ethiopia,ETH,2021,0.1882909,0.498,120283024.0,
Europe,,2021,7.7724247,,746417727.0,
France,FRA,2021,6.443828,0.903,64531448.0,
Ghana,GHA,2021,0.7607105,0.632,32833036.0,
Greece,GRC,2021,4.8734684,0.887,10445368.0,
Hong Kong,HKG,2021,12.031124,0.952,7494580.0,
Hungary,HUN,2021,6.761141,0.846,9709784.0,
India,IND,2021,1.7389793,0.633,1407563904.0,
Indonesia,IDN,2021,2.2794528,0.705,273753184.0,
Japan,JPN,2021,9.829765,0.925,124612528.0,
Kuwait,KWT,2021,24.532375,0.831,4250111.0,
Malaysia,MYS,2021,7.744011,0.803,33573872.0,
Malta,MLT,2021,19.433935,0.918,526751.0,
Mexico,MEX,2021,3.995392,0.758,126705136.0,
Mongolia,MNG,2021,10.5226,0.739,3347782.0,
Mozambique,MOZ,2021,0.43922287,0.446,32077074.0,
Nepal,NPL,2021,0.98037636,0.602,30034988.0,
North America,,2021,11.327762,,597123384.0,
Oceania,,2021,8.57394,,44492065.0,
Oman,OMN,2021,15.371639,0.816,4520474.0,
Pakistan,PAK,2021,1.0637796,0.544,231402112.0,
Poland,POL,2021,8.289582,0.876,38307724.0,
Qatar,QAT,2021,26.705807,0.855,2688239.0,
Russia,RUS,2021,9.371125,0.822,145102752.0,
Rwanda,RWA,2021,0.1653543,0.534,13461891.0,
Singapore,SGP,2021,27.71478,0.939,5941063.0,
South Africa,ZAF,2021,5.0127277,0.713,59392256.0,
South America,,2021,2.3941483,,434254167.0,
South Korea,KOR,2021,13.296304,0.925,51830136.0,
Sri Lanka,LKA,2021,1.7624207,0.782,21773438.0,
Sweden,SWE,2021,6.5117664,0.947,10467095.0,
Thailand,THA,2021,3.8793957,0.8,71601104.0,
Trinidad and Tobago,TTO,2021,13.866487,0.81,1525671.0,
Turkey,TUR,2021,4.9772143,0.838,84775408.0,
United Arab Emirates,ARE,2021,25.750458,0.911,9365149.0,
United Kingdom,GBR,2021,7.6306796,0.929,67281040.0,
United States,USA,2021,16.534756,0.921,336997632.0,
