Entity,Code,Year,12.5.1 - Proportion of electronic waste recycled (%) - EN_EWT_RCYR
Europe and Northern America (UN),,2010,27.94
Europe and Northern America (UN),,2012,27.93
Europe and Northern America (UN),,2014,29.37
Europe and Northern America (UN),,2016,32.38
Europe and Northern America (UN),,2018,31.85
Europe and Northern America (UN),,2019,31.81
Finland,FIN,2005,81.8
Finland,FIN,2006,78.8
Finland,FIN,2008,82.4
Finland,FIN,2010,88.5
Finland,FIN,2012,89.4
Finland,FIN,2014,87.8
Finland,FIN,2016,88.9
Finland,FIN,2018,89.7
Hungary,HUN,2005,78.3
Hungary,HUN,2006,76.7
Hungary,HUN,2008,82.0
Hungary,HUN,2010,82.3
Hungary,HUN,2012,81.5
Hungary,HUN,2014,87.0
Hungary,HUN,2016,84.0
Hungary,HUN,2018,83.5
Latvia,LVA,2008,69.7
Latvia,LVA,2010,84.6
Latvia,LVA,2012,83.6
Latvia,LVA,2014,90.3
Latvia,LVA,2016,88.5
Latvia,LVA,2018,81.4
Luxembourg,LUX,2006,88.5
Luxembourg,LUX,2008,81.1
Luxembourg,LUX,2010,85.7
Luxembourg,LUX,2012,86.8
Luxembourg,LUX,2014,88.0
Luxembourg,LUX,2016,87.4
Luxembourg,LUX,2018,88.0
