Entity,Code,Year,Coal production - TWh
Lower-middle-income countries,,1981,835.9899
Lower-middle-income countries,,1985,2062.461
Lower-middle-income countries,,1990,2467.5713
Lower-middle-income countries,,1995,2481.1492
Lower-middle-income countries,,2000,2883.011
Lower-middle-income countries,,2005,3973.559
Lower-middle-income countries,,2010,5545.246
Lower-middle-income countries,,2015,6757.848
Lower-middle-income countries,,2022,8780.383
Pakistan,PAK,1981,8.15156
Pakistan,PAK,1985,11.443536
Pakistan,PAK,1990,14.735512
Pakistan,PAK,1995,16.564388
Pakistan,PAK,2000,16.877909
Pakistan,PAK,2005,18.220827
Pakistan,PAK,2010,17.593784
Pakistan,PAK,2015,17.37432
Pakistan,PAK,2022,51.87214
Russia,RUS,1985,2160.92
Russia,RUS,1990,2158.076
Russia,RUS,1995,1450.4194
Russia,RUS,2000,1413.2776
Russia,RUS,2005,1576.9117
Russia,RUS,2010,1755.6228
Russia,RUS,2015,2167.134
Russia,RUS,2022,2597.8977
Spain,ESP,1981,140.22292
Spain,ESP,1985,150.21309
Spain,ESP,1990,132.3843
Spain,ESP,1995,113.206436
Spain,ESP,2000,97.005806
Spain,ESP,2005,77.06032
Spain,ESP,2010,38.329483
Spain,ESP,2015,14.489569
Spain,ESP,2022,0.49378112
Vietnam,VNM,1981,39.077045
Vietnam,VNM,1985,36.47191
Vietnam,VNM,1990,33.21549
Vietnam,VNM,1995,54.38222
Vietnam,VNM,2000,75.607574
Vietnam,VNM,2005,222.04228
Vietnam,VNM,2010,292.0032
Vietnam,VNM,2015,271.351
Vietnam,VNM,2022,324.5495
