Entity,Code,Year,suffr_vdem_owid
Argentina,ARG,1789,0.0
Argentina,ARG,1850,35.0
Argentina,ARG,1900,50.0
Argentina,ARG,1950,100.0
Argentina,ARG,2000,100.0
Argentina,ARG,2022,100.0
Australia,AUS,1789,0.0
Australia,AUS,1850,12.5
Australia,AUS,1900,65.0
Australia,AUS,1950,98.0
Australia,AUS,2000,100.0
Australia,AUS,2022,100.0
Botswana,BWA,1900,0.0
Botswana,BWA,1950,1.0
Botswana,BWA,2000,100.0
Botswana,BWA,2022,100.0
China,CHN,1789,0.0
China,CHN,1850,0.0
China,CHN,1900,0.0
China,CHN,1950,100.0
China,CHN,2000,100.0
China,CHN,2022,100.0
