Entity,Code,Year,Median income or consumption,"GDP per capita, PPP (constant 2011 international $)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,,,32353592.0,
Asia,,2019,,,4627738749.0,
Belarus,BLR,2019,19.033716,,9673971.0,
Belgium,BEL,2019,46.384754,,11510569.0,
Canada,CAN,2019,51.916058,,37522584.0,
China,CHN,2019,10.5,,1421864064.0,
Czechia,CZE,2019,30.041069,,10536876.0,
Ethiopia,ETH,2019,,,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,44.06373,,64399760.0,
Germany,DEU,2019,49.471928,,83148144.0,
Greece,GRC,2019,21.17635,,10574026.0,
India,IND,2019,3.42,,1383112064.0,
Indonesia,IDN,2019,5.3,,269582880.0,
Iran,IRN,2019,10.497835,,86564208.0,
Italy,ITA,2019,37.945694,,59727936.0,
Kazakhstan,KAZ,2019,,,18754260.0,
Malaysia,MYS,2019,,,32804024.0,
Malta,MLT,2019,42.323082,,503646.0,
Mexico,MEX,2019,,,125085312.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Peru,PER,2019,10.275865,,32824864.0,
Russia,RUS,2019,15.603854,,145742288.0,
South America,,2019,,,428318218.0,
Spain,ESP,2019,34.210327,,47131372.0,
Switzerland,CHE,2019,,,8575593.0,
Ukraine,UKR,2019,13.261955,,44211100.0,
United Kingdom,GBR,2019,42.85794,,66778660.0,
United States,USA,2019,59.68786,,334319680.0,
Uruguay,URY,2019,20.358442,,3428412.0,
Vietnam,VNM,2019,,,95776712.0,
