Entity,Code,Year,Vaccine effectiveness (strongly disagree)
Bangladesh,BGD,2015,1.65
Bangladesh,BGD,2016,1.34
Bangladesh,BGD,2018,0.62
Bangladesh,BGD,2019,1.15
El Salvador,SLV,2015,1.72
El Salvador,SLV,2016,2.1
El Salvador,SLV,2018,2.11
El Salvador,SLV,2019,1.73
Georgia,GEO,2015,0.73
Georgia,GEO,2016,1.17
Georgia,GEO,2018,2.12
Georgia,GEO,2019,1.84
Lithuania,LTU,2015,1.9
Lithuania,LTU,2016,2.12
Lithuania,LTU,2018,1.75
Lithuania,LTU,2019,1.92
Papua New Guinea,PNG,2015,4.09
Papua New Guinea,PNG,2016,3.91
Papua New Guinea,PNG,2018,3.18
Papua New Guinea,PNG,2019,3.23
Serbia,SRB,2015,3.14
Serbia,SRB,2016,3.4
Serbia,SRB,2018,3.01
Serbia,SRB,2019,3.74
United Arab Emirates,ARE,2015,1.24
United Arab Emirates,ARE,2016,1.39
United Arab Emirates,ARE,2018,1.4
United Arab Emirates,ARE,2019,1.5
Yemen,YEM,2015,1.33
Yemen,YEM,2016,1.25
Yemen,YEM,2018,1.56
Yemen,YEM,2019,1.57
Zambia,ZMB,2015,3.41
Zambia,ZMB,2016,3.5
Zambia,ZMB,2018,3.59
Zambia,ZMB,2019,3.21
