Entity,Code,Year,"Death rate per 100,000 people - Cause: Substance use disorders - Sex: Both sexes - Age group: ALLAges"
Africa,,2000,1.8592807
Africa,,2005,1.7884935
Africa,,2010,1.7475476
Africa,,2015,1.8325589
Africa,,2019,1.9300756
Asia,,2000,2.1510222
Asia,,2005,2.155006
Asia,,2010,2.1640499
Asia,,2015,2.176923
Asia,,2019,2.3509033
Europe,,2000,15.464138
Europe,,2005,15.987908
Europe,,2010,12.246531
Europe,,2015,11.021081
Europe,,2019,11.197702
North America,,2000,7.014459
North America,,2005,8.564879
North America,,2010,10.133292
North America,,2015,15.060245
North America,,2019,17.800522
Oceania,,2000,6.4179955
Oceania,,2005,4.9699492
Oceania,,2010,5.142525
Oceania,,2015,5.759212
Oceania,,2019,5.7113953
South America,,2000,3.1864395
South America,,2005,3.4044685
South America,,2010,3.4796834
South America,,2015,3.3496058
South America,,2019,3.4338543
