Entity,Code,Year,Human rights protection
Albania,ALB,1946,-1.70542459285403
Albania,ALB,1950,-1.8760199410453
Albania,ALB,1960,-1.75302096638174
Albania,ALB,1970,-1.70547594978624
Albania,ALB,1980,-1.25922171782675
Albania,ALB,1990,-0.634616872751757
Albania,ALB,2000,-0.0100866788551274
Albania,ALB,2010,1.14301070457157
Albania,ALB,2019,1.1309208649033
China,CHN,1946,-1.51863867837884
China,CHN,1950,-2.24585898878229
China,CHN,1960,-1.99417956164751
China,CHN,1970,-2.99523561271216
China,CHN,1980,-1.27604822706943
China,CHN,1990,-1.41482358159696
China,CHN,2000,-1.28119056656662
China,CHN,2010,-1.34340603121421
China,CHN,2019,-1.19895127914242
Hungary,HUN,1946,-1.62625618816586
Hungary,HUN,1950,-1.53549820354311
Hungary,HUN,1960,-1.62254244407365
Hungary,HUN,1970,0.151800445929993
Hungary,HUN,1980,0.266639907500851
Hungary,HUN,1990,1.64050009164513
Hungary,HUN,2000,1.15934039276915
Hungary,HUN,2010,1.56100456518506
Hungary,HUN,2019,1.45179141006147
North Korea,PRK,1950,-1.81251671681089
North Korea,PRK,1960,-1.79851772080514
North Korea,PRK,1970,-1.79119937105671
North Korea,PRK,1980,-1.77490942403411
North Korea,PRK,1990,-1.44460722089126
North Korea,PRK,2000,-1.65547430603301
North Korea,PRK,2010,-1.69263565173425
North Korea,PRK,2019,-1.99452860413545
Norway,NOR,1946,0.838780390357504
Norway,NOR,1950,1.01827693951185
Norway,NOR,1960,1.36186865095684
Norway,NOR,1970,1.66429091847833
Norway,NOR,1980,2.17739519597155
Norway,NOR,1990,2.81637577608089
Norway,NOR,2000,4.11481133417216
Norway,NOR,2010,4.16496752715248
Norway,NOR,2019,4.28091605827049
South Korea,KOR,1950,-1.47537501725936
South Korea,KOR,1960,-0.0288936684013336
South Korea,KOR,1970,-0.0857438551600023
South Korea,KOR,1980,-0.789987907138397
South Korea,KOR,1990,-0.704758938064501
South Korea,KOR,2000,0.557379183563106
South Korea,KOR,2010,1.70075251899752
South Korea,KOR,2019,1.85213088229866
