Entity,Code,Year,"Current number of cases of substance use disorders per 100 people, in both sexes aged age-standardized"
China,CHN,1990,1.8656505
China,CHN,1995,2.025199
China,CHN,2000,1.7992733
China,CHN,2005,1.7182701
China,CHN,2010,1.6344218
China,CHN,2015,1.6582694
China,CHN,2019,1.8104384
Estonia,EST,1990,2.885368
Estonia,EST,1995,3.1381543
Estonia,EST,2000,3.3795946
Estonia,EST,2005,3.3702862
Estonia,EST,2010,3.3317964
Estonia,EST,2015,3.3914344
Estonia,EST,2019,3.2230797
Trinidad and Tobago,TTO,1990,2.1589093
Trinidad and Tobago,TTO,1995,1.9702649
Trinidad and Tobago,TTO,2000,2.0839088
Trinidad and Tobago,TTO,2005,2.1494045
Trinidad and Tobago,TTO,2010,2.29801
Trinidad and Tobago,TTO,2015,2.2944348
Trinidad and Tobago,TTO,2019,2.1719856
