Entity,Code,Year,Augmented Human Development Index (AHDI),814486-annotations
East Asia (AHDI),,1870,0.032621678,
East Asia (AHDI),,1880,0.033387728,
East Asia (AHDI),,1900,0.03956523,
East Asia (AHDI),,1960,0.15368709,
East Asia (AHDI),,1980,0.19353974,
East Asia (AHDI),,2000,0.37005132,
East Asia (AHDI),,2020,0.4321755,
Eastern Europe (AHDI),,1870,0.0947619,
Eastern Europe (AHDI),,1880,0.103176266,
Eastern Europe (AHDI),,1900,0.12540673,
Eastern Europe (AHDI),,1960,0.22557802,
Eastern Europe (AHDI),,1980,0.2634453,
Eastern Europe (AHDI),,2000,0.46927524,
Eastern Europe (AHDI),,2020,0.54648125,
Latin America (AHDI),,1870,0.06499382,
Latin America (AHDI),,1880,0.068801336,
Latin America (AHDI),,1900,0.085105225,
Latin America (AHDI),,1960,0.22784337,
Latin America (AHDI),,1980,0.26257786,
Latin America (AHDI),,2000,0.4303773,
Latin America (AHDI),,2020,0.4569037,
Middle East (AHDI),,1870,0.03533816,
Middle East (AHDI),,1880,0.03453718,
Middle East (AHDI),,1900,0.03957524,
Middle East (AHDI),,1960,0.1377088,
Middle East (AHDI),,1980,0.21331505,
Middle East (AHDI),,2000,0.31634623,
Middle East (AHDI),,2020,0.3429447,
North Africa (AHDI),,1870,0.038089,
North Africa (AHDI),,1880,0.038314078,
North Africa (AHDI),,1900,0.052168958,
North Africa (AHDI),,1960,0.11359413,
North Africa (AHDI),,1980,0.1800542,
North Africa (AHDI),,2000,0.27518064,
North Africa (AHDI),,2020,0.3403318,
South Asia (AHDI),,1870,0.03197828,
South Asia (AHDI),,1880,0.03399439,
South Asia (AHDI),,1900,0.044466935,
South Asia (AHDI),,1960,0.15568022,
South Asia (AHDI),,1980,0.21271744,
South Asia (AHDI),,2000,0.2972832,
South Asia (AHDI),,2020,0.33618388,
Sub Saharan Africa (AHDI),,1870,0.03069921,
Sub Saharan Africa (AHDI),,1880,0.032672245,
Sub Saharan Africa (AHDI),,1900,0.037885163,
Sub Saharan Africa (AHDI),,1960,0.10617858,
Sub Saharan Africa (AHDI),,1980,0.1443397,
Sub Saharan Africa (AHDI),,2000,0.20543414,
Sub Saharan Africa (AHDI),,2020,0.27484772,
Western Europe (AHDI),,1870,0.16912991,
Western Europe (AHDI),,1880,0.19529569,
Western Europe (AHDI),,1900,0.23424414,
Western Europe (AHDI),,1960,0.44797388,
Western Europe (AHDI),,1980,0.5742352,
Western Europe (AHDI),,2000,0.67572993,
Western Europe (AHDI),,2020,0.74823874,
Western offshoots (AHDI),,1870,0.23856674,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1880,0.2371428,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1900,0.29794645,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1960,0.50433666,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1980,0.6325979,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,2000,0.7257786,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,2020,0.75892735,"United States, Canada, Australia and New Zealand"
