Entity,Code,Year,Inbound arrivals (same-night) per 1000 people
Georgia,GEO,2010,251.50945
Georgia,GEO,2015,595.0463
Georgia,GEO,2021,38.318417
Latvia,LVA,2000,587.243
Latvia,LVA,2005,1190.239
Latvia,LVA,2010,1745.865
Latvia,LVA,2015,2418.7341
Latvia,LVA,2021,778.5793
Poland,POL,1995,1641.2955
Poland,POL,2000,1743.0461
Poland,POL,2005,1280.7474
Poland,POL,2010,1188.4233
Poland,POL,2015,1582.6205
Poland,POL,2021,1078.216
Turkey,TUR,1995,10.859028
Turkey,TUR,2000,13.13295
Turkey,TUR,2005,12.400896
Turkey,TUR,2010,22.31016
Turkey,TUR,2015,20.540848
Turkey,TUR,2021,1.3447295
