Entity,Code,Year,"Automated teller machines (ATMs) (per 100,000 adults)"
Bangladesh,BGD,2004,0.12897171
Bangladesh,BGD,2006,0.35432345
Bangladesh,BGD,2008,0.84344214
Bangladesh,BGD,2010,2.1131692
Bangladesh,BGD,2012,4.0399494
Bangladesh,BGD,2014,5.7712274
Bangladesh,BGD,2016,8.028155
Bangladesh,BGD,2018,8.919507
Bangladesh,BGD,2020,10.5307665
Bangladesh,BGD,2021,11.449472
India,IND,2006,2.7308023
India,IND,2008,4.2732444
India,IND,2010,7.2404327
India,IND,2012,10.950028
India,IND,2014,17.726154
India,IND,2016,21.168148
India,IND,2018,21.653116
India,IND,2020,21.49655
India,IND,2021,21.441198
Nepal,NPL,2012,7.5991263
Nepal,NPL,2014,9.297647
Nepal,NPL,2016,10.34081
Nepal,NPL,2018,14.275771
Nepal,NPL,2020,19.795033
Nepal,NPL,2021,20.261595
Pakistan,PAK,2004,0.74264765
Pakistan,PAK,2006,1.8682979
Pakistan,PAK,2008,3.3947647
Pakistan,PAK,2010,4.2812204
Pakistan,PAK,2012,5.286897
Pakistan,PAK,2014,7.2686033
Pakistan,PAK,2016,9.447942
Pakistan,PAK,2018,10.453809
Pakistan,PAK,2020,11.14124
Pakistan,PAK,2021,11.10978
World,OWID_WRL,2004,18.290554
World,OWID_WRL,2006,19.25184
World,OWID_WRL,2008,27.54743
World,OWID_WRL,2010,31.322645
World,OWID_WRL,2012,35.729115
World,OWID_WRL,2014,35.333633
World,OWID_WRL,2016,37.081676
World,OWID_WRL,2018,38.210983
World,OWID_WRL,2020,41.23987
World,OWID_WRL,2021,39.691467
