Entity,Code,Year,Gender wage gap (%),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),World Bank's income classification
Argentina,ARG,2016,,23189.527,43668236.0,Upper-middle-income countries
Belgium,BEL,2016,,49829.926,11316837.0,High-income countries
Belize,BLZ,2016,-20.03,9208.114,367327.0,Upper-middle-income countries
Bolivia,BOL,2016,,8034.173,11263016.0,Lower-middle-income countries
Brazil,BRA,2016,,14402.494,206859584.0,Upper-middle-income countries
Brunei,BRN,2016,,59980.99,426001.0,High-income countries
Bulgaria,BGR,2016,,20744.523,7245982.0,Upper-middle-income countries
Colombia,COL,2016,,14358.168,47625960.0,Upper-middle-income countries
Czechia,CZE,2016,20.61,37014.96,10527584.0,High-income countries
Ecuador,ECU,2016,-2.8,11587.825,16439588.0,Upper-middle-income countries
El Salvador,SLV,2016,,8450.251,6250513.0,Lower-middle-income countries
France,FRA,2016,,43705.15,63989320.0,High-income countries
Germany,DEU,2016,,51879.67,82331432.0,High-income countries
Guatemala,GTM,2016,,8206.048,16291004.0,Lower-middle-income countries
High-income countries,,2016,,47506.395,1196437875.0,
Honduras,HND,2016,,5287.253,9460798.0,Lower-middle-income countries
Hungary,HUN,2016,,28217.354,9815106.0,High-income countries
Italy,ITA,2016,,40837.74,60118628.0,High-income countries
Low-income countries,,2016,,1932.5286,609614594.0,
Lower-middle-income countries,,2016,,6592.078,3190920278.0,
Luxembourg,LUX,2016,,116283.7,583355.0,High-income countries
Mexico,MEX,2016,,19830.963,121519224.0,Upper-middle-income countries
Netherlands,NLD,2016,,53847.83,17124512.0,High-income countries
Nicaragua,NIC,2016,,5734.355,6389237.0,Lower-middle-income countries
Pakistan,PAK,2016,10.81,4746.718,213524848.0,Lower-middle-income countries
Panama,PAN,2016,,29410.635,4026338.0,Upper-middle-income countries
Peru,PER,2016,,12321.318,31132776.0,Upper-middle-income countries
Poland,POL,2016,,28497.104,38532108.0,High-income countries
Portugal,PRT,2016,8.54,31847.537,10332751.0,High-income countries
Russia,RUS,2016,,25490.709,145109152.0,Upper-middle-income countries
Serbia,SRB,2016,,16185.742,7493288.0,Upper-middle-income countries
Slovakia,SVK,2016,,29248.885,5431205.0,High-income countries
South Korea,KOR,2016,33.59,39814.66,51309984.0,High-income countries
Spain,ESP,2016,,38476.79,46473320.0,High-income countries
Sweden,SWE,2016,,51334.434,9953322.0,High-income countries
Thailand,THA,2016,-21.57,16393.314,70607032.0,Upper-middle-income countries
Turkey,TUR,2016,,25996.967,81019400.0,Upper-middle-income countries
Upper-middle-income countries,,2016,,15443.416,2482967003.0,
Vietnam,VNM,2016,10.71,8545.702,93126528.0,Lower-middle-income countries
