Entity,Code,Year,"12.2.2 - Domestic material consumption per capita, by type of raw material (tonnes) - EN_MAT_DOMCMPC - Total or no breakdown"
Luxembourg,LUX,2000,26.73
Luxembourg,LUX,2005,25.79
Luxembourg,LUX,2010,22.43
Luxembourg,LUX,2015,24.38
Luxembourg,LUX,2019,21.64
Mauritania,MRT,2000,7.67
Mauritania,MRT,2005,6.62
Mauritania,MRT,2010,10.13
Mauritania,MRT,2015,9.95
Mauritania,MRT,2019,8.94
Samoa,WSM,2000,5.36
Samoa,WSM,2005,7.67
Samoa,WSM,2010,6.73
Samoa,WSM,2015,7.54
Samoa,WSM,2019,8.39
