Entity,Code,Year,"Death rate per 100,000 people - Cause: Cocaine use disorders - Sex: Both sexes - Age group: ALLAges"
Australia,AUS,2000,0.02
Australia,AUS,2005,0.03
Australia,AUS,2010,0.03
Australia,AUS,2015,0.03
Australia,AUS,2019,0.03
Russia,RUS,2000,0.48
Russia,RUS,2005,0.63
Russia,RUS,2010,0.48
Russia,RUS,2015,0.43
Russia,RUS,2019,0.41
Sweden,SWE,2000,0.02
Sweden,SWE,2005,0.03
Sweden,SWE,2010,0.04
Sweden,SWE,2015,0.06
Sweden,SWE,2019,0.06
United Kingdom,GBR,2000,0.04
United Kingdom,GBR,2005,0.07
United Kingdom,GBR,2010,0.08
United Kingdom,GBR,2015,0.08
United Kingdom,GBR,2019,0.07
United States,USA,2000,0.52
United States,USA,2005,0.8
United States,USA,2010,0.94
United States,USA,2015,1.28
United States,USA,2019,1.23
