Entity,Code,Year,Deaths - Neonatal encephalopathy due to birth asphyxia and trauma - Sex: Both - Age: Under 5 (Rate)
Democratic Republic of Congo,COD,1990,140.31
Democratic Republic of Congo,COD,1995,132.18
Democratic Republic of Congo,COD,2000,129.35
Democratic Republic of Congo,COD,2005,131.68
Democratic Republic of Congo,COD,2010,116.23
Democratic Republic of Congo,COD,2015,96.95
Democratic Republic of Congo,COD,2019,82.3
Nigeria,NGA,1990,310.56
Nigeria,NGA,1995,316.15
Nigeria,NGA,2000,308.56
Nigeria,NGA,2005,293.79
Nigeria,NGA,2010,270.72
Nigeria,NGA,2015,250.07
Nigeria,NGA,2019,226.44
Northern Ireland,,1990,20.33
Northern Ireland,,1995,13.76
Northern Ireland,,2000,9.39
Northern Ireland,,2005,9.99
Northern Ireland,,2010,9.03
Northern Ireland,,2015,8.45
Northern Ireland,,2019,7.92
