Entity,Code,Year,socgr_pow_vdem_owid,socgr_pow_vdem_high_owid,socgr_pow_vdem_low_owid
Argentina,ARG,1789,-1.719,-0.857,-2.604
Argentina,ARG,1850,0.1,0.451,-0.269
Argentina,ARG,1900,0.1,0.451,-0.269
Argentina,ARG,1950,1.431,1.892,0.787
Argentina,ARG,2000,1.804,2.153,1.418
Argentina,ARG,2022,1.804,2.153,1.418
Australia,AUS,1789,1.682,2.038,1.338
Australia,AUS,1850,1.682,2.038,1.338
Australia,AUS,1900,1.682,2.038,1.338
Australia,AUS,1950,1.682,2.038,1.338
Australia,AUS,2000,1.682,2.038,1.338
Australia,AUS,2022,1.353,1.676,0.88
Botswana,BWA,1900,-0.281,0.162,-0.746
Botswana,BWA,1950,-0.281,0.162,-0.746
Botswana,BWA,2000,1.27,1.614,0.877
Botswana,BWA,2022,1.643,2.194,1.046
China,CHN,1789,-2.293,-1.66,-2.914
China,CHN,1850,-2.293,-1.66,-2.914
China,CHN,1900,-2.293,-1.66,-2.914
China,CHN,1950,-1.081,-0.726,-1.407
China,CHN,2000,-1.104,-0.703,-1.433
China,CHN,2022,-1.448,-0.879,-1.922
