Entity,Code,Year,Tea | 00000667 || Production | 005510 || tonnes
Brazil,BRA,1961,5000
Brazil,BRA,1965,6228
Brazil,BRA,1970,5848
Brazil,BRA,1975,7681
Brazil,BRA,1980,9707
Brazil,BRA,1985,10823
Brazil,BRA,1990,9813
China,CHN,1961,79000
China,CHN,1965,100600
China,CHN,1970,136000
China,CHN,1975,211000
China,CHN,1980,304000
China,CHN,1985,432337
China,CHN,1990,540070
India,IND,1961,354397
India,IND,1965,366374
India,IND,1970,418517
India,IND,1975,487137
India,IND,1980,569550
India,IND,1985,656162
India,IND,1990,688100
