Entity,Code,Year,Solar electricity per capita - kWh
Australia,AUS,1990,0.0
Australia,AUS,2000,2.6290927
Australia,AUS,2010,44.50668
Australia,AUS,2022,1483.722
India,IND,1980,0.0
India,IND,1990,0.0
India,IND,2000,0.009437224
India,IND,2010,0.0886658
India,IND,2022,67.14776
New Zealand,NZL,1965,0.0
New Zealand,NZL,1970,0.0
New Zealand,NZL,1980,0.0
New Zealand,NZL,1990,0.0
New Zealand,NZL,2000,0.0
New Zealand,NZL,2010,0.0
New Zealand,NZL,2022,38.570656
Portugal,PRT,1965,0.0
Portugal,PRT,1970,0.0
Portugal,PRT,1980,0.0
Portugal,PRT,1990,0.0
Portugal,PRT,2000,0.0
Portugal,PRT,2010,19.833023
Portugal,PRT,2022,296.9567
South Africa,ZAF,1980,0.0
South Africa,ZAF,1990,0.0
South Africa,ZAF,2000,0.0
South Africa,ZAF,2010,0.38621277
South Africa,ZAF,2022,103.68337
Spain,ESP,1965,0.0
Spain,ESP,1970,0.0
Spain,ESP,1980,0.0
Spain,ESP,1990,0.25713626
Spain,ESP,2000,0.24544905
Spain,ESP,2010,154.38203
Spain,ESP,2022,690.30585
United States,USA,1990,1.4946363
United States,USA,2000,1.7351363
United States,USA,2010,3.888389
United States,USA,2022,606.2257
