Entity,Code,Year,Manufactures exports (% of merchandise exports)
Brazil,BRA,1962,3.0706587
Brazil,BRA,1970,13.235103
Brazil,BRA,1980,37.213654
Brazil,BRA,1990,51.763073
Brazil,BRA,2000,57.553143
Brazil,BRA,2010,34.958897
Brazil,BRA,2021,25.121489
Colombia,COL,1962,3.0320375
Colombia,COL,1970,8.007102
Colombia,COL,1980,19.647877
Colombia,COL,2000,32.456837
Colombia,COL,2010,21.310217
Colombia,COL,2021,21.633831
Germany,DEU,1962,87.12412
Germany,DEU,1970,86.77957
Germany,DEU,1980,84.18413
Germany,DEU,1990,88.923325
Germany,DEU,2000,83.61071
Germany,DEU,2010,83.88881
Germany,DEU,2021,84.22486
India,IND,1962,43.434162
India,IND,1970,51.683647
India,IND,1980,58.640945
India,IND,1990,70.07542
India,IND,2000,77.72778
India,IND,2010,62.618446
India,IND,2021,68.07337
United Kingdom,GBR,1962,79.76571
United Kingdom,GBR,1970,80.0893
United Kingdom,GBR,1980,71.48548
United Kingdom,GBR,1990,79.697975
United Kingdom,GBR,2000,75.2093
United Kingdom,GBR,2010,67.88722
United Kingdom,GBR,2021,62.245518
