Entity,Code,Year,Number without access to improved sanitation (rural)
Andorra,AND,1990,0.0
Andorra,AND,1995,0.0
Andorra,AND,2000,0.0
Andorra,AND,2005,0.0
Andorra,AND,2010,0.0
Andorra,AND,2015,0.0
Cuba,CUB,1990,887872.545
Cuba,CUB,1995,760252.8309999999
Cuba,CUB,2000,621876.7419999999
Cuba,CUB,2005,487451.09999999986
Cuba,CUB,2010,360709.26399999985
Cuba,CUB,2015,288637.3410000002
Kenya,KEN,1990,14768155.69
Kenya,KEN,1995,16697073.231
Kenya,KEN,2000,18517849.455
Kenya,KEN,2005,20442011.128
Kenya,KEN,2010,22501697.696
Kenya,KEN,2015,24686815.139999997
Low & middle income,,1990,1964265820.0844464
Low & middle income,,1995,1952018919.9094791
Low & middle income,,2000,1914304556.2277584
Low & middle income,,2005,1840666412.5389616
Low & middle income,,2010,1754520734.8717291
Low & middle income,,2015,1676316517.7910476
Mexico,MEX,1990,15979467.77
Mexico,MEX,1995,14326437.268
Mexico,MEX,2000,12547797.112
Mexico,MEX,2005,10408192.2
Mexico,MEX,2010,8380760.654000001
Mexico,MEX,2015,6649969.05
Nepal,NPL,1990,16832993.99
Nepal,NPL,1995,17180102.216
Nepal,NPL,2000,16797798.597
Nepal,NPL,2005,15947177.319999998
Nepal,NPL,2010,14597241.153
Nepal,NPL,2015,13186272.84
Sierra Leone,SLE,1990,2748812.79
Sierra Leone,SLE,1995,2662889.9
Sierra Leone,SLE,2000,2776618.8449999997
Sierra Leone,SLE,2005,3358769.642
Sierra Leone,SLE,2010,3696376.3199999994
Sierra Leone,SLE,2015,3986746.8199999994
