Entity,Code,Year,Hib3 (% of one-year-olds immunized)
African Region (WHO),,1990,0
African Region (WHO),,1995,0
African Region (WHO),,2000,3
African Region (WHO),,2005,18
African Region (WHO),,2010,60
African Region (WHO),,2015,71
African Region (WHO),,2021,71
Eastern Mediterranean Region (WHO),,1990,0
Eastern Mediterranean Region (WHO),,1995,0
Eastern Mediterranean Region (WHO),,2000,1
Eastern Mediterranean Region (WHO),,2005,12
Eastern Mediterranean Region (WHO),,2010,47
Eastern Mediterranean Region (WHO),,2015,80
Eastern Mediterranean Region (WHO),,2021,82
European Region (WHO),,1990,0
European Region (WHO),,1995,16
European Region (WHO),,2000,38
European Region (WHO),,2005,44
European Region (WHO),,2010,73
European Region (WHO),,2015,76
European Region (WHO),,2021,81
Region of the Americas (WHO),,1990,0
Region of the Americas (WHO),,1995,22
Region of the Americas (WHO),,2000,75
Region of the Americas (WHO),,2005,93
Region of the Americas (WHO),,2010,91
Region of the Americas (WHO),,2015,91
Region of the Americas (WHO),,2021,79
South-East Asia Region (WHO),,1990,0
South-East Asia Region (WHO),,1995,0
South-East Asia Region (WHO),,2000,0
South-East Asia Region (WHO),,2005,0
South-East Asia Region (WHO),,2010,9
South-East Asia Region (WHO),,2015,57
South-East Asia Region (WHO),,2021,82
Western Pacific Region (WHO),,1990,0
Western Pacific Region (WHO),,1995,0
Western Pacific Region (WHO),,2000,1
Western Pacific Region (WHO),,2005,3
Western Pacific Region (WHO),,2010,10
Western Pacific Region (WHO),,2015,25
Western Pacific Region (WHO),,2021,29
