Entity,Code,Year,Lettuce | 00000372 || Yield | 005419 || tonnes per hectare
Africa,,1961,14.573088
Africa,,1970,20.811922
Africa,,1980,18.147427
Africa,,1990,18.050781
Africa,,2000,14.723899
Africa,,2010,15.315837
Africa,,2021,20.596
Asia,,1961,11.920806
Asia,,1970,11.927658
Asia,,1980,12.581363
Asia,,1990,15.288132
Asia,,2000,18.022554
Asia,,2010,19.732914
Asia,,2021,20.107239
Europe,,1961,18.734783
Europe,,1970,18.353317
Europe,,1980,20.149475
Europe,,1990,23.485859
Europe,,2000,22.74853
Europe,,2010,21.7623
Europe,,2021,30.14228
South America,,1961,9.572932
South America,,1970,10.697797
South America,,1980,11.089799
South America,,1990,11.439246
South America,,2000,13.337023
South America,,2010,13.503467
South America,,2021,14.664138
World,OWID_WRL,1961,15.2188
World,OWID_WRL,1970,16.9551
World,OWID_WRL,1980,18.7117
World,OWID_WRL,1990,21.1231
World,OWID_WRL,2000,21.5047
World,OWID_WRL,2010,21.5418
World,OWID_WRL,2021,22.262299
