Entity,Code,Year,Agriculture | 00002051 || Gross Production Value (current thousand US$) | 000057 || 1000 US$
Ghana,GHA,1991,9472785000
Ghana,GHA,1995,4722465000
Ghana,GHA,2000,3067909000
Ghana,GHA,2005,6498312000
Ghana,GHA,2010,11461469000
Ghana,GHA,2015,12103113000
Ghana,GHA,2021,10256480000
Switzerland,CHE,1991,7641547000
Switzerland,CHE,1995,7769642000
Switzerland,CHE,2000,4561849000
Switzerland,CHE,2005,5790062000
Switzerland,CHE,2010,6719329000
Switzerland,CHE,2015,7416401000
Switzerland,CHE,2021,7691472000
Togo,TGO,1991,527942000
Togo,TGO,1995,499782000
Togo,TGO,2000,426817000
Togo,TGO,2005,956722000
Togo,TGO,2010,1597656000
Togo,TGO,2015,1710826000
Togo,TGO,2021,2145721000
