Entity,Code,Year,Combined - percentage of female youth and adults aged between 15 and 64 years with no education
Belize,BLZ,1870,98.0
Belize,BLZ,1880,96.6
Belize,BLZ,1900,90.9
Belize,BLZ,1920,45.8
Belize,BLZ,1940,18.8
Belize,BLZ,1960,9.6
Belize,BLZ,1980,6.3
Belize,BLZ,2000,2.5
Belize,BLZ,2020,0.1
Brazil,BRA,1870,99.8
Brazil,BRA,1880,99.5
Brazil,BRA,1900,90.7
Brazil,BRA,1920,77.6
Brazil,BRA,1940,68.4
Brazil,BRA,1960,53.9
Brazil,BRA,1980,26.1
Brazil,BRA,2000,11.9
Brazil,BRA,2020,3.6
Portugal,PRT,1870,98.4
Portugal,PRT,1880,96.8
Portugal,PRT,1900,88.8
Portugal,PRT,1920,71.4
Portugal,PRT,1940,57.1
Portugal,PRT,1960,40.9
Portugal,PRT,1980,18.4
Portugal,PRT,2000,3.8
Portugal,PRT,2020,2.0
Qatar,QAT,2020,2.5
