Entity,Code,Year,Bananas | 00000486 || Production | 005510 || tonnes
Brazil,BRA,1961,2823040.0
Brazil,BRA,1970,5126160.0
Brazil,BRA,1980,4659680.0
Brazil,BRA,1990,5725830.0
Brazil,BRA,2000,5663360.0
Brazil,BRA,2010,6969306.0
Brazil,BRA,2021,6811374.0
China,CHN,1961,48000.0
China,CHN,1970,166000.0
China,CHN,1980,61300.0
China,CHN,1990,1455927.0
China,CHN,2000,4941500.0
China,CHN,2010,9560500.0
China,CHN,2021,11724200.0
India,IND,1961,2257000.0
India,IND,1970,2896800.0
India,IND,1980,4354000.0
India,IND,1990,7153000.0
India,IND,2000,14137300.0
India,IND,2010,29780000.0
India,IND,2021,33062000.0
United States,USA,1961,4007.0
United States,USA,1970,2536.0
United States,USA,1980,2090.0
United States,USA,1990,5126.0
United States,USA,2000,13154.0
United States,USA,2010,8074.0
United States,USA,2021,2775.76
