Entity,Code,Year,Coal production - TWh
Australia,AUS,1981,788.57117
Australia,AUS,1985,1074.3456
Australia,AUS,1990,1334.6012
Australia,AUS,1995,1591.8179
Australia,AUS,2000,1996.8198
Australia,AUS,2005,2501.2886
Australia,AUS,2010,2914.7896
Australia,AUS,2015,3555.7026
Australia,AUS,2022,3183.6519
Canada,CAN,1981,269.31723
Canada,CAN,1985,413.0922
Canada,CAN,1990,464.75027
Canada,CAN,1995,500.22504
Canada,CAN,2000,454.52444
Canada,CAN,2005,410.7875
Canada,CAN,2010,412.0089
Canada,CAN,2015,379.0172
Canada,CAN,2022,327.52536
India,IND,1981,741.7438
India,IND,1985,841.7091
India,IND,1990,1236.1666
India,IND,1995,1547.9033
India,IND,2000,1771.1918
India,IND,2005,2207.1597
India,IND,2010,2937.1091
India,IND,2015,3268.103
India,IND,2022,4172.377
South Africa,ZAF,1981,870.63434
South Africa,ZAF,1985,1160.1698
South Africa,ZAF,1990,1164.732
South Africa,ZAF,1995,1359.7599
South Africa,ZAF,2000,1472.752
South Africa,ZAF,2005,1609.3898
South Africa,ZAF,2010,1675.9241
South Africa,ZAF,2015,1656.7732
South Africa,ZAF,2022,1485.4603
United States,USA,1981,5116.4155
United States,USA,1985,5380.4644
United States,USA,1990,6260.9272
United States,USA,1995,6161.256
United States,USA,2000,6329.958
United States,USA,2005,6455.162
United States,USA,2010,6135.828
United States,USA,2015,4996.5073
United States,USA,2022,3353.0413
