Entity,Code,Year,Foreign guests in tourism accommodation (hotels and similar establishments)
Bosnia and Herzegovina,BIH,2010,355000
Bosnia and Herzegovina,BIH,2015,640000
Bosnia and Herzegovina,BIH,2021,485000
Indonesia,IDN,1995,3390000
Indonesia,IDN,2000,4029000
Indonesia,IDN,2005,3883000
Indonesia,IDN,2010,5589000
Indonesia,IDN,2015,11936000
Indonesia,IDN,2021,777000
United Kingdom,GBR,1995,17118000
United Kingdom,GBR,2000,17019000
United Kingdom,GBR,2005,13746000
United Kingdom,GBR,2010,15348000
United Kingdom,GBR,2015,18937000
United States,USA,2000,20962000
United States,USA,2005,16975000
United States,USA,2010,20932000
United States,USA,2015,29257312
United States,USA,2021,4404000
