Entity,Code,Year,"Total number of deaths per 100,000 people - Drought (decadal)","Total number of deaths per 100,000 people - Flood (decadal)","Total number of deaths per 100,000 people - Earthquake (decadal)","Total number of deaths per 100,000 people - Extreme weather (decadal)","Total number of deaths per 100,000 people - Extreme temperature (decadal)","Total number of deaths per 100,000 people - Volcanic activity (decadal)","Total number of deaths per 100,000 people - Landslide (decadal)","Total number of deaths per 100,000 people - Wildfire (decadal)","Total number of deaths per 100,000 people - Glacial lake outburst (decadal)","Total number of deaths per 100,000 people - Dry mass movement (decadal)","Total number of deaths per 100,000 people - Fog (decadal)"
Gambia,GMB,1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,1910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,1920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,1930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,1940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,1990,0.0,0.37951887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,2000,0.0,0.03338155,0.0,0.031558994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,2010,0.0,0.0810666,0.0,0.015943356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,2020,0.0,0.055432476,0.0,0.09469977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
