Entity,Code,Year,"16.1.3 - Proportion of population subjected to sexual violence in the previous 12 months, by sex (%) - VC_VOV_SEXL - Male","16.1.3 - Proportion of population subjected to sexual violence in the previous 12 months, by sex (%) - VC_VOV_SEXL - Female",Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Asia,,2021,,,4693332132.0,
Brazil,BRA,2021,,,214326224.0,
Europe,,2021,,,746417727.0,
Germany,DEU,2021,,,83408560.0,
Mexico,MEX,2021,0.29,2.43,126705136.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Saint Vincent and the Grenadines,VCT,2021,24.0,5.0,104340.0,
Slovenia,SVN,2021,,,2119408.0,
South America,,2021,,,434254167.0,
Uganda,UGA,2021,,,45853780.0,
