Entity,Code,Year,"Deaths that are from all causes attributed to high systolic blood pressure per 100,000 people, in both sexes aged age-standardized"
Czechia,CZE,1990,286.1881
Czechia,CZE,1995,230.41245
Czechia,CZE,2000,187.85486
Czechia,CZE,2005,163.23166
Czechia,CZE,2010,133.72752
Czechia,CZE,2015,117.68909
Czechia,CZE,2019,113.16075
Hungary,HUN,1990,367.85416
Hungary,HUN,1995,333.83868
Hungary,HUN,2000,269.0144
Hungary,HUN,2005,229.34592
Hungary,HUN,2010,196.22891
Hungary,HUN,2015,178.86923
Hungary,HUN,2019,167.76155
United Kingdom,GBR,1990,200.38046
United Kingdom,GBR,1995,171.34776
United Kingdom,GBR,2000,133.72234
United Kingdom,GBR,2005,94.86024
United Kingdom,GBR,2010,68.49404
United Kingdom,GBR,2015,62.146793
United Kingdom,GBR,2019,62.61013
United States,USA,1990,151.0068
United States,USA,1995,138.43704
United States,USA,2000,126.67523
United States,USA,2005,101.55898
United States,USA,2010,83.02669
United States,USA,2015,81.74657
United States,USA,2019,81.64023
Uzbekistan,UZB,1990,239.38687
Uzbekistan,UZB,1995,366.53973
Uzbekistan,UZB,2000,458.56244
Uzbekistan,UZB,2005,590.1514
Uzbekistan,UZB,2010,572.2248
Uzbekistan,UZB,2015,562.00494
Uzbekistan,UZB,2019,490.06763
