Entity,Code,Year,Share of global cumulative CO₂ emissions from cement
China,CHN,1940,0.43821976
China,CHN,1960,1.6954178
China,CHN,1980,3.8637862
China,CHN,2000,14.779983
China,CHN,2022,35.16733
European Union (27),,1880,0.0
European Union (27),,1900,0.0
European Union (27),,1920,93.33492
European Union (27),,1940,35.02228
European Union (27),,1960,32.923817
European Union (27),,1980,32.279285
European Union (27),,2000,23.934547
European Union (27),,2022,13.258007
United States,USA,1880,100.0
United States,USA,1900,100.0
United States,USA,1920,6.6652303
United States,USA,1940,36.876244
United States,USA,1960,29.016708
United States,USA,1980,16.151691
United States,USA,2000,10.624684
United States,USA,2022,6.083104
