Entity,Code,Year,Knowledge about HIV prevention in young people - Disaggregation: Males Young people (15-24) Yes to all questions,Knowledge about HIV prevention in young people - Disaggregation: Females Young people (15-24) Yes to all questions,Population (historical estimates),Continent
Africa,,2018,,,1295265310.0,
Albania,ALB,2018,,,2877019.0,
Angola,AGO,2018,,,31273538.0,
Antigua and Barbuda,ATG,2018,,,91644.0,
Asia,,2018,,,4588802751.0,
Burundi,BDI,2018,,,11493476.0,
Cambodia,KHM,2018,,,16025242.0,
Chad,TCD,2018,,,15604213.0,
Colombia,COL,2018,,,49276968.0,
Congo,COG,2018,,,5441061.0,
Cuba,CUB,2018,,,11328243.0,
Democratic Republic of Congo,COD,2018,,,87087352.0,
Eswatini,SWZ,2018,,,1160430.0,
Ethiopia,ETH,2018,,,111129440.0,
Europe,,2018,,,746577709.0,
Guatemala,GTM,2018,,,16850176.0,
Guyana,GUY,2018,,,785518.0,
Haiti,HTI,2018,,,11012427.0,
India,IND,2018,,,1369003264.0,
Kenya,KEN,2018,,,49953300.0,
Lesotho,LSO,2018,,,2198030.0,
Lithuania,LTU,2018,,,2876128.0,
Malaysia,MYS,2018,,,32399270.0,
Mauritania,MRT,2018,,,4270717.0,
Mauritius,MUS,2018,,,1295386.0,
Montenegro,MNE,2018,,,631459.0,
Myanmar,MMR,2018,,,52666016.0,
Namibia,NAM,2018,,,2405682.0,
Nigeria,NGA,2018,33.7,42.6,198387616.0,
North America,,2018,,,585864285.0,
Oceania,,2018,,,42540030.0,
Pakistan,PAK,2018,,,219731488.0,
Peru,PER,2018,,,32203946.0,
Rwanda,RWA,2018,,,12531810.0,
Senegal,SEN,2018,,,15574910.0,
South America,,2018,,,424740741.0,
Thailand,THA,2018,,,71127808.0,
