Entity,Code,Year,Number of ongoing wars - Conflict type: intra-state (internationalized),Number of ongoing wars - Conflict type: intra-state (non-internationalized),Number of ongoing wars - Conflict type: non-state,Number of ongoing wars - Conflict type: extra-state,Number of ongoing wars - Conflict type: inter-state
World,OWID_WRL,1816,0,0,0.0,2.0,0.0
World,OWID_WRL,1824,1,1,2.0,3.0,0.0
World,OWID_WRL,1832,1,5,1.0,1.0,0.0
World,OWID_WRL,1840,2,5,2.0,3.0,0.0
World,OWID_WRL,1848,1,9,1.0,3.0,2.0
World,OWID_WRL,1856,0,3,7.0,5.0,2.0
World,OWID_WRL,1864,1,9,2.0,4.0,3.0
World,OWID_WRL,1872,0,6,2.0,3.0,0.0
World,OWID_WRL,1880,0,1,0.0,3.0,1.0
World,OWID_WRL,1888,0,0,3.0,2.0,0.0
World,OWID_WRL,1896,0,6,0.0,5.0,0.0
World,OWID_WRL,1904,0,2,0.0,5.0,1.0
World,OWID_WRL,1912,0,3,0.0,2.0,2.0
World,OWID_WRL,1920,3,7,0.0,5.0,6.0
World,OWID_WRL,1928,1,4,0.0,1.0,0.0
World,OWID_WRL,1936,1,1,0.0,2.0,1.0
World,OWID_WRL,1944,1,1,0.0,0.0,1.0
World,OWID_WRL,1952,0,4,0.0,4.0,1.0
World,OWID_WRL,1960,3,4,1.0,1.0,0.0
World,OWID_WRL,1968,5,4,1.0,2.0,2.0
World,OWID_WRL,1976,5,5,0.0,3.0,1.0
World,OWID_WRL,1984,5,9,0.0,3.0,1.0
World,OWID_WRL,1992,9,17,0.0,1.0,1.0
World,OWID_WRL,2007,2,3,0.0,2.0,0.0
