Entity,Code,Year,Methane emissions from agriculture
Niger,NER,1990,6340000.0
Niger,NER,1995,7690000.0
Niger,NER,2000,9460000.0
Niger,NER,2005,11570000.0
Niger,NER,2010,13350000.0
Niger,NER,2015,16690001.0
Niger,NER,2020,21180000.0
Nigeria,NGA,1990,22500000.0
Nigeria,NGA,1995,26460000.0
Nigeria,NGA,2000,31390000.0
Nigeria,NGA,2005,34850000.0
Nigeria,NGA,2010,35890000.0
Nigeria,NGA,2015,43260000.0
Nigeria,NGA,2020,52220000.0
South Africa,ZAF,1990,17720000.0
South Africa,ZAF,1995,16700001.0
South Africa,ZAF,2000,17780000.0
South Africa,ZAF,2005,17380000.0
South Africa,ZAF,2010,17280000.0
South Africa,ZAF,2015,16520000.0
South Africa,ZAF,2020,15020000.0
South Korea,KOR,1990,9740000.0
South Korea,KOR,1995,10150000.0
South Korea,KOR,2000,9130000.0
South Korea,KOR,2005,8890000.0
South Korea,KOR,2010,9720000.0
South Korea,KOR,2015,9240000.0
South Korea,KOR,2020,9500000.0
Sudan,SDN,1990,24990000.0
Sudan,SDN,1995,33099998.0
Sudan,SDN,2000,41230000.0
Sudan,SDN,2005,44010000.0
Sudan,SDN,2010,43290000.0
Sudan,SDN,2015,46790000.0
Sudan,SDN,2020,48350000.0
United Kingdom,GBR,1990,35280000.0
United Kingdom,GBR,1995,34350000.0
United Kingdom,GBR,2000,32380002.0
United Kingdom,GBR,2005,29410000.0
United Kingdom,GBR,2010,27160000.0
United Kingdom,GBR,2015,27500000.0
United Kingdom,GBR,2020,26910000.0
