Entity,Code,Year,libdem_vdem_owid,libdem_vdem_low_owid,libdem_vdem_high_owid
Argentina,ARG,1789,0.065,0.05,0.08
Argentina,ARG,1850,0.076,0.057,0.097
Argentina,ARG,1900,0.269,0.235,0.298
Argentina,ARG,1950,0.223,0.186,0.25
Argentina,ARG,2000,0.662,0.61,0.725
Argentina,ARG,2022,0.642,0.587,0.702
Australia,AUS,1789,0.086,0.07,0.104
Australia,AUS,1850,0.294,0.268,0.316
Australia,AUS,1950,0.746,0.7,0.806
Australia,AUS,2000,0.849,0.81,0.898
Australia,AUS,2022,0.814,0.768,0.859
Botswana,BWA,1900,0.096,0.084,0.104
Botswana,BWA,1950,0.101,0.09,0.112
Botswana,BWA,2000,0.604,0.545,0.648
Botswana,BWA,2022,0.462,0.409,0.515
China,CHN,1789,0.013,0.007,0.017
China,CHN,1850,0.013,0.007,0.017
China,CHN,1900,0.022,0.013,0.028
China,CHN,1950,0.028,0.017,0.036
China,CHN,2000,0.063,0.049,0.077
China,CHN,2022,0.04,0.029,0.049
