Entity,Code,Year,"17.2.1 - Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%) - DC_ODA_LDCG"
Canada,CAN,2000,0.05
Canada,CAN,2005,0.1
Canada,CAN,2010,0.15
Canada,CAN,2015,0.1
Canada,CAN,2021,0.09
France,FRA,2000,0.09
France,FRA,2005,0.1
France,FRA,2010,0.14
France,FRA,2015,0.1
France,FRA,2021,0.13
Germany,DEU,2000,0.07
Germany,DEU,2005,0.07
Germany,DEU,2010,0.11
Germany,DEU,2015,0.08
Germany,DEU,2021,0.14
Italy,ITA,2000,0.05
Italy,ITA,2005,0.08
Italy,ITA,2010,0.06
Italy,ITA,2015,0.05
Italy,ITA,2021,0.08
Japan,JPN,2000,0.06
Japan,JPN,2005,0.05
Japan,JPN,2010,0.08
Japan,JPN,2015,0.08
Japan,JPN,2021,0.11
Sweden,SWE,2000,0.24
Sweden,SWE,2005,0.31
Sweden,SWE,2010,0.3
Sweden,SWE,2015,0.29
Sweden,SWE,2021,0.32
United Kingdom,GBR,2000,0.11
United Kingdom,GBR,2005,0.12
United Kingdom,GBR,2010,0.2
United Kingdom,GBR,2015,0.23
United Kingdom,GBR,2021,0.14
United States,USA,2000,0.02
United States,USA,2005,0.05
United States,USA,2010,0.07
United States,USA,2015,0.06
United States,USA,2021,0.06
