Entity,Code,Year,share_deforestation_domestic_consumption
Bangladesh,BGD,2005,99.90567003574866
Bangladesh,BGD,2006,99.91255369858368
Bangladesh,BGD,2007,99.96575724949504
Bangladesh,BGD,2008,99.96956639785704
Bangladesh,BGD,2009,99.86433666047586
Bangladesh,BGD,2010,99.79251364376267
Bangladesh,BGD,2011,99.81853622667504
Bangladesh,BGD,2012,99.830104585325
Bangladesh,BGD,2013,99.672655857704
Ecuador,ECU,2005,99.99952350017558
Ecuador,ECU,2006,100.0
Ecuador,ECU,2007,81.79308754200515
Ecuador,ECU,2008,74.4192626058627
Ecuador,ECU,2009,66.2738324325431
Ecuador,ECU,2010,74.87670843696532
Ecuador,ECU,2011,70.6557731077342
Ecuador,ECU,2012,71.4429657946757
Ecuador,ECU,2013,90.08402066919838
Lebanon,LBN,2005,97.45603085926892
Lebanon,LBN,2006,97.55227368499352
Lebanon,LBN,2007,97.38751162113286
Lebanon,LBN,2008,96.21271592270652
Lebanon,LBN,2009,96.53387905151897
Lebanon,LBN,2010,94.76593969288884
Lebanon,LBN,2011,95.61619078660604
Lebanon,LBN,2012,92.79190581009136
Lebanon,LBN,2013,89.02106465341127
Maldives,MDV,2005,99.99934536478818
Maldives,MDV,2006,99.87473872498552
Malta,MLT,2005,99.21580201728156
Malta,MLT,2007,78.6539489321967
Malta,MLT,2008,87.72377576553885
Malta,MLT,2009,83.75653075765938
Malta,MLT,2010,87.85431892307226
Malta,MLT,2011,92.46038091953392
Malta,MLT,2012,70.64438141738087
Malta,MLT,2013,81.08155674104016
Mauritania,MRT,2005,99.97671799108667
Mauritania,MRT,2006,99.93447653528378
Mauritania,MRT,2007,99.99868202844496
Mauritania,MRT,2008,99.99917698961
Mauritania,MRT,2009,99.99061033647912
Thailand,THA,2005,78.82618467582697
Thailand,THA,2006,75.31705556332923
Thailand,THA,2007,71.56415380100117
Thailand,THA,2008,73.5309444118546
Thailand,THA,2009,70.16526650494878
Thailand,THA,2010,62.43725480127262
Thailand,THA,2011,52.9735767397163
Thailand,THA,2012,53.331713239010114
Thailand,THA,2013,48.910038802777706
