Entity,Code,Year,"Current number of cases of alcohol use disorders, in both sexes aged all ages"
India,IND,1990,11628320.0
India,IND,1995,13126835.0
India,IND,2000,15076083.0
India,IND,2005,17242128.0
India,IND,2010,15246395.0
India,IND,2015,15598201.0
India,IND,2019,15888873.0
Puerto Rico,PRI,1990,68266.18
Puerto Rico,PRI,1995,68970.1
Puerto Rico,PRI,2000,70852.3
Puerto Rico,PRI,2005,65263.496
Puerto Rico,PRI,2010,64180.113
Puerto Rico,PRI,2015,60706.918
Puerto Rico,PRI,2019,54469.938
Russia,RUS,1990,5815186.5
Russia,RUS,1995,6091828.5
Russia,RUS,2000,7678778.0
Russia,RUS,2005,6104893.5
Russia,RUS,2010,5620777.5
Russia,RUS,2015,5237245.5
Russia,RUS,2019,4847955.0
Ukraine,UKR,1990,1512542.6
Ukraine,UKR,1995,1645086.9
Ukraine,UKR,2000,1642132.2
Ukraine,UKR,2005,1481554.4
Ukraine,UKR,2010,1339223.9
Ukraine,UKR,2015,1444428.9
Ukraine,UKR,2019,1277625.0
United States,USA,1990,7988914.5
United States,USA,1995,7074151.0
United States,USA,2000,6706707.0
United States,USA,2005,7199569.5
United States,USA,2010,7586422.5
United States,USA,2015,7890105.0
United States,USA,2019,8129255.5
