Entity,Code,Year,8.2.1 - Annual growth rate of real GDP per employed person (%) - SL_EMP_PCAP
Belize,BLZ,2000,5.42
Belize,BLZ,2005,-1.5
Belize,BLZ,2010,-0.71
Belize,BLZ,2015,-1.68
Belize,BLZ,2020,-11.78
Belize,BLZ,2022,-0.12
Madagascar,MDG,2000,1.35
Madagascar,MDG,2005,0.16
Madagascar,MDG,2010,-2.43
Madagascar,MDG,2015,0.38
Madagascar,MDG,2020,-8.53
Madagascar,MDG,2022,0.19
United Arab Emirates,ARE,2000,3.47
United Arab Emirates,ARE,2005,-3.33
United Arab Emirates,ARE,2010,-5.5
United Arab Emirates,ARE,2015,3.39
United Arab Emirates,ARE,2020,-3.03
United Arab Emirates,ARE,2022,2.81
Vanuatu,VUT,2000,2.72
Vanuatu,VUT,2005,2.04
Vanuatu,VUT,2010,-1.41
Vanuatu,VUT,2015,-1.8
Vanuatu,VUT,2020,-6.59
Vanuatu,VUT,2022,-1.39
