Entity,Code,Year,Number of severely food insecure people (million) (3-year average) | 00210071 || Value | 006132 || million Number
Greece,GRC,2015,0.3
Greece,GRC,2016,0.3
Greece,GRC,2017,0.3
Greece,GRC,2018,0.2
Greece,GRC,2019,0.2
Greece,GRC,2020,0.2
Norway,NOR,2015,0.1
Norway,NOR,2016,0.1
Norway,NOR,2017,0.1
Norway,NOR,2018,0.1
Norway,NOR,2019,0.1
Norway,NOR,2020,0.1
World,OWID_WRL,2015,569.3
World,OWID_WRL,2016,588.3
World,OWID_WRL,2017,632.7
World,OWID_WRL,2018,675.4
World,OWID_WRL,2019,751.5
World,OWID_WRL,2020,830.2
