Entity,Code,Year,Number of ongoing conflicts per state-pair - Hostility level: Threat to use force,Number of ongoing conflicts per state-pair - Hostility level: Display of force,Number of ongoing conflicts per state-pair - Hostility level: Use of force,Number of ongoing conflicts per state-pair - Hostility level: War
Americas,,1822,0.0,0.0,0.0,0.0
Americas,,1829,0.0,0.0,0.0,0.0
Americas,,1836,0.0,0.0,0.33333334,0.0
Americas,,1843,0.0,0.071428575,0.035714287,0.0
Americas,,1850,0.022222223,0.0,0.044444446,0.0
Americas,,1857,0.0,0.036363635,0.036363635,0.0
Americas,,1864,0.015151516,0.015151516,0.045454547,0.015151516
Americas,,1871,0.0,0.0,0.0,0.0
Americas,,1878,0.0,0.010989011,0.021978023,0.0
Americas,,1885,0.0,0.01904762,0.0,0.00952381
Americas,,1892,0.0,0.0,0.0,0.0
Americas,,1899,0.0,0.0,0.007352941,0.0
Americas,,1906,0.0,0.010526316,0.005263158,0.005263158
Americas,,1913,0.005263158,0.02631579,0.0,0.0
Americas,,1920,0.0,0.015789473,0.0,0.005263158
Americas,,1927,0.0,0.014285714,0.004761905,0.0
Americas,,1934,0.0,0.008658009,0.0,0.0043290043
Americas,,1941,0.0,0.0,0.0,0.008658009
Americas,,1948,0.0,0.0043290043,0.012987013,0.0
Americas,,1955,0.0,0.0,0.025974026,0.0
Americas,,1962,0.0,0.007246377,0.018115941,0.0
Americas,,1969,0.0,0.003076923,0.012307692,0.009230769
Americas,,1976,0.0,0.009852217,0.0123152705,0.0024630541
Americas,,1983,0.0,0.016806724,0.005042017,0.0016806723
Americas,,1990,0.0,0.0016806723,0.0016806723,0.0
Americas,,1997,0.0,0.005042017,0.005042017,0.0
Americas,,2004,0.0,0.005042017,0.0033613446,0.0
Americas,,2014,0.0016806723,0.008403362,0.0033613446,0.0
