Entity,Code,Year,$30 a day - Number in poverty,$30 a day - Number not in poverty
China,CHN,2019,1299992347,107752653
France,FRA,2019,13073213,54314788
Germany,DEU,2019,10591466,72501496
India,IND,2019,1378838118,4273932
Italy,ITA,2019,17134800,42594281
Mozambique,MOZ,2019,30208962,76633
Norway,NOR,2019,336620,5011276
Poland,POL,2019,32374715,5590760
Russia,RUS,2019,113824788,30581473
Spain,ESP,2019,15027230,32107607
United Kingdom,GBR,2019,15203540,51632787
United States,USA,2019,52530599,275799354
World,OWID_WRL,2019,6517648013,1225034205
