Entity,Code,Year,"Deaths that are from all causes attributed to unsafe sex per 100,000 people, in both sexes aged all ages"
European Region (WHO),,1990,5.72755
European Region (WHO),,1995,7.1183634
European Region (WHO),,2000,5.6099305
European Region (WHO),,2005,5.7469573
European Region (WHO),,2010,5.54962
European Region (WHO),,2015,5.55422
European Region (WHO),,2019,5.2905235
Greece,GRC,1990,3.673548
Greece,GRC,1995,3.4332283
Greece,GRC,2000,3.1520731
Greece,GRC,2005,2.8022795
Greece,GRC,2010,2.9983437
Greece,GRC,2015,3.3365755
Greece,GRC,2019,3.4664035
India,IND,1990,3.5544028
India,IND,1995,4.4137397
India,IND,2000,9.1484375
India,IND,2005,12.4797325
India,IND,2010,9.812065
India,IND,2015,6.709788
India,IND,2019,5.679024
