Entity,Code,Year,Hijacking incidents,Fatal accidents from commercial airliners
World,OWID_WRL,1946,0.0,60.0
World,OWID_WRL,1949,7.0,72.0
World,OWID_WRL,1952,3.0,49.0
World,OWID_WRL,1955,0.0,56.0
World,OWID_WRL,1958,9.0,63.0
World,OWID_WRL,1961,12.0,50.0
World,OWID_WRL,1964,1.0,43.0
World,OWID_WRL,1967,5.0,51.0
World,OWID_WRL,1970,78.0,61.0
World,OWID_WRL,1973,22.0,61.0
World,OWID_WRL,1976,16.0,52.0
World,OWID_WRL,1979,25.0,55.0
World,OWID_WRL,1982,32.0,32.0
World,OWID_WRL,1985,25.0,39.0
World,OWID_WRL,1988,15.0,54.0
World,OWID_WRL,1991,20.0,49.0
World,OWID_WRL,1994,27.0,48.0
World,OWID_WRL,1997,12.0,37.0
World,OWID_WRL,2000,27.0,37.0
World,OWID_WRL,2003,9.0,26.0
World,OWID_WRL,2006,3.0,24.0
World,OWID_WRL,2009,5.0,23.0
World,OWID_WRL,2012,3.0,17.0
World,OWID_WRL,2015,0.0,10.0
World,OWID_WRL,2018,1.0,14.0
World,OWID_WRL,2021,3.0,11.0
