Entity,Code,Year,Mean years of schooling
Brazil,BRA,1990,3.6853845
Brazil,BRA,1995,4.4151635
Brazil,BRA,2000,5.272654
Brazil,BRA,2005,6.1503496
Brazil,BRA,2010,6.87817
Brazil,BRA,2015,7.50682
Brazil,BRA,2021,8.128814
Chile,CHL,1990,8.387271
Chile,CHL,1995,8.784673
Chile,CHL,2000,9.150701
Chile,CHL,2005,9.73694
Chile,CHL,2010,9.85244
Chile,CHL,2015,10.25591
Chile,CHL,2021,10.934966
China,CHN,1990,4.14379
China,CHN,1995,5.0361695
China,CHN,2000,5.92855
China,CHN,2005,6.327515
China,CHN,2010,6.72648
China,CHN,2015,7.199924
China,CHN,2021,7.6001186
Democratic Republic of Congo,COD,1990,3.9841812
Democratic Republic of Congo,COD,1995,4.3429503
Democratic Republic of Congo,COD,2000,4.734026
Democratic Republic of Congo,COD,2005,5.163333
Democratic Republic of Congo,COD,2010,5.597037
Democratic Republic of Congo,COD,2015,6.49327
Democratic Republic of Congo,COD,2021,7.0186963
India,IND,1990,2.7815764
India,IND,1995,3.2984233
India,IND,2000,4.1441727
India,IND,2005,4.5294585
India,IND,2010,5.0651
India,IND,2015,6.2491493
India,IND,2021,6.6551094
Niger,NER,1990,0.7280832
Niger,NER,1995,0.9285699
Niger,NER,2000,1.1607124
Niger,NER,2005,1.371751
Niger,NER,2010,1.5300299
Niger,NER,2015,1.8043802
Niger,NER,2021,2.1167173
Nigeria,NGA,2005,5.14199
Nigeria,NGA,2010,5.248432
Nigeria,NGA,2015,6.1755953
Nigeria,NGA,2021,7.181074
South Korea,KOR,1990,9.27329
South Korea,KOR,1995,9.99733
South Korea,KOR,2000,10.62179
South Korea,KOR,2005,11.24357
South Korea,KOR,2010,11.63821
South Korea,KOR,2015,12.11633
South Korea,KOR,2021,12.51293
United Kingdom,GBR,1990,9.63544
United Kingdom,GBR,1995,10.080319
United Kingdom,GBR,2000,10.698811
United Kingdom,GBR,2005,11.968345
United Kingdom,GBR,2010,13.21277
United Kingdom,GBR,2015,12.979763
United Kingdom,GBR,2021,13.40612
United States,USA,1990,12.98377
United States,USA,1995,13.137351
United States,USA,2000,12.963606
United States,USA,2005,12.82754
United States,USA,2010,13.05184
United States,USA,2015,13.25188
United States,USA,2021,13.68343
