Entity,Code,Year,Political regime
China,CHN,1789,0
China,CHN,1850,0
China,CHN,1900,0
China,CHN,1950,0
China,CHN,2000,0
China,CHN,2015,0
China,CHN,2022,0
Comoros,COM,1900,0
Comoros,COM,1950,0
Comoros,COM,2000,0
Comoros,COM,2015,6
Comoros,COM,2022,1
El Salvador,SLV,1850,3
El Salvador,SLV,1900,3
El Salvador,SLV,1950,3
El Salvador,SLV,2000,6
El Salvador,SLV,2015,6
El Salvador,SLV,2022,6
Equatorial Guinea,GNQ,1900,0
Equatorial Guinea,GNQ,1950,0
Equatorial Guinea,GNQ,2000,3
Equatorial Guinea,GNQ,2015,3
Equatorial Guinea,GNQ,2022,3
