Entity,Code,Year,"Home production working hours per week in the US, by gender and demographic group (Ramey and Francis (2009))"
Total 14-17,,1900,12.3
Total 14-17,,1920,11.1
Total 14-17,,1940,9.8
Total 14-17,,1960,8.6
Total 14-17,,1980,7.3
Total 14-17,,2005,7.5
Total 65+,,1900,21.8
Total 65+,,1920,22.4
Total 65+,,1940,24.8
Total 65+,,1960,27.7
Total 65+,,1980,24.1
Total 65+,,2005,24.7
Women 14+,,1900,42.5
Women 14+,,1920,40.7
Women 14+,,1940,38.6
Women 14+,,1960,38.1
Women 14+,,1980,28.0
Women 14+,,2005,27.6
