Entity,Code,Year,Oil - % electricity
Bhutan,BTN,2000,0.0
Bhutan,BTN,2005,0.0
Bhutan,BTN,2010,0.0
Bhutan,BTN,2015,0.0
Bhutan,BTN,2020,0.0
Cameroon,CMR,2000,1.1594203
Cameroon,CMR,2005,5.56962
Cameroon,CMR,2010,26.09457
Cameroon,CMR,2015,43.766235
Cameroon,CMR,2020,34.258144
Denmark,DNK,1990,3.4642034
Denmark,DNK,1995,10.587914
Denmark,DNK,2000,13.861111
Denmark,DNK,2005,6.0447145
Denmark,DNK,2010,3.910471
Denmark,DNK,2015,3.6985831
Denmark,DNK,2020,3.6199095
Denmark,DNK,2022,2.4985476
Dominica,DMA,2000,57.142857
Dominica,DMA,2005,62.5
Dominica,DMA,2010,77.77777
Dominica,DMA,2015,80.0
Dominica,DMA,2020,75.0
Europe (Ember),,2000,6.620461
Europe (Ember),,2005,5.175858
Europe (Ember),,2010,3.6946738
Europe (Ember),,2015,3.212936
Europe (Ember),,2020,2.6306171
Europe (Ember),,2022,2.7080863
Kyrgyzstan,KGZ,2000,0.0
Kyrgyzstan,KGZ,2005,0.0
Kyrgyzstan,KGZ,2010,0.0
Kyrgyzstan,KGZ,2015,0.0
Kyrgyzstan,KGZ,2020,0.0
Turkmenistan,TKM,2000,0.0
Turkmenistan,TKM,2005,0.0
Turkmenistan,TKM,2010,0.0
Turkmenistan,TKM,2015,0.0
Turkmenistan,TKM,2020,0.0
